constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.5,1.0,0.7330362889,64,0.0025,2.5,4.0,0.7905095169,0.08736614,0.8,0,2.499,ok,30.0,30.0
0.75,1.0,-0.0122113814,65,0.001,2.5,7.0,0.2065454132,0.7437839732,0.7,0,2.259,ok,15.0,15.0
0.75,1.0,-0.0122549519,66,0.0025,2.5,7.0,0.206521479,0.7438821545,0.7,0,2.536,ok,15.0,15.0
0.75,1.0,-0.0316946414,67,0.001,2.5,7.0,0.1873468883,0.7452076487,0.8,0,2.222,ok,15.0,15.0
0.75,1.0,-0.0317932581,68,0.0025,2.5,7.0,0.1872790029,0.7453613049,0.8,0,2.48,ok,15.0,15.0
0.75,1.0,0.7739401036,69,0.001,2.5,5.0,0.8629122099,0.1948605317,0.7,0,2.251,ok,30.0,15.0
0.75,1.0,0.7741396875,70,0.0025,2.5,5.0,0.8631649883,0.195126504,0.7,0,2.212,ok,30.0,15.0
0.75,1.0,0.7696377015,71,0.001,2.5,5.0,0.8586511951,0.195067468,0.8,0,2.289,ok,30.0,15.0
0.75,1.0,0.7699158507,72,0.0025,2.5,5.0,0.8590446197,0.1956438448,0.8,0,2.191,ok,30.0,15.0
0.75,1.0,0.2479823215,73,0.001,2.5,4.0,0.4127396622,0.6237867037,0.7,0,2.504,ok,15.0,20.0
0.75,1.0,0.2479417393,74,0.0025,2.5,4.0,0.4127514898,0.6240487525,0.7,0,2.303,ok,15.0,20.0
0.75,1.0,0.2312643407,75,0.001,2.5,4.0,0.3960628806,0.6239926996,0.8,0,2.498,ok,15.0,20.0
0.75,1.0,0.2310365229,76,0.0025,2.5,4.0,0.3959492713,0.6245637423,0.8,0,2.255,ok,15.0,20.0
0.75,1.0,0.8331025727,77,0.001,2.5,2.0,0.8801251061,0.1351126671,0.7,0,2.499,ok,30.0,20.0
0.75,1.0,0.8333505534,78,0.0025,2.5,2.0,0.8804239618,0.1353670417,0.7,0,2.239,ok,30.0,20.0
0.75,1.0,0.8301992895,79,0.001,2.5,2.0,0.8772626426,0.1353167655,0.8,0,2.281,ok,30.0,20.0
0.75,1.0,0.8305539384,80,0.0025,2.5,2.0,0.8777293959,0.1358772875,0.8,0,2.468,ok,30.0,20.0
0.75,1.0,0.4328687472,81,0.001,2.5,2.0,0.5577968594,0.5246405611,0.7,0,2.232,ok,15.0,25.0
0.75,1.0,0.4328958284,82,0.0025,2.5,2.0,0.5578748155,0.5248949357,0.7,0,2.475,ok,15.0,25.0
0.75,1.0,0.4132065438,83,0.001,2.5,2.0,0.5381754757,0.5248446594,0.8,0,2.243,ok,15.0,25.0
0.75,1.0,0.4130881158,84,0.0025,2.5,2.0,0.5381691521,0.5254051815,0.8,0,2.491,ok,15.0,25.0
0.75,1.0,0.8302348047,85,0.001,2.5,1.0,0.8569155445,0.0834036992,0.7,0,2.232,ok,30.0,25.0
0.75,1.0,0.8305319435,86,0.0025,2.5,1.0,0.8572613399,0.0836469818,0.7,0,2.526,ok,30.0,25.0
0.75,1.0,0.8283992686,87,0.001,2.5,1.0,0.8551202512,0.0836049132,0.8,0,2.239,ok,30.0,25.0
0.75,1.0,0.8288317689,88,0.0025,2.5,1.0,0.8556617722,0.0841500167,0.8,0,2.469,ok,30.0,25.0
0.75,1.0,0.5353967561,89,0.001,2.5,1.0,0.6310107623,0.428070031,0.7,0,2.23,ok,15.0,30.0
0.75,1.0,0.5354929589,90,0.0025,2.5,1.0,0.6311556216,0.4283133135,0.7,0,2.615,ok,15.0,30.0
0.75,1.0,0.5180661207,91,0.001,2.5,1.0,0.6137203697,0.428271245,0.8,0,1.991,ok,15.0,30.0
0.75,1.0,0.5180643119,92,0.0025,2.5,1.0,0.6138275816,0.4288163485,0.8,0,2.292,ok,15.0,30.0
