constant_loss,count,index,initial_flow_area_ratio,initial_loss,mae,nse,observed_peak,observed_peak_index,recession_factor,returncode,rmse,seconds,simulated_peak,simulated_peak_index,status,storage_min,tc_min
1.5,239.0,47,0.005,0.0,2487.4164047692,-0.4528853677,15447.875,93.0,0.8,0,4481.7930687334,2.372,188.9215556052,238.0,ok,360.0,720.0
1.5,239.0,48,0.005,0.0,2512.8718152962,-0.4597294635,15447.875,93.0,0.8,0,4492.3368400591,2.122,106.3761381161,238.0,ok,720.0,720.0
0.1,239.0,49,0.005,5.0,2064.9726545343,0.1980823641,15447.875,93.0,0.8,0,3329.6685801294,2.368,5985.0234841907,126.0,ok,60.0,60.0
0.1,239.0,50,0.005,5.0,1877.948491364,-0.0357271084,15447.875,93.0,0.8,0,3784.0668254223,2.154,2851.5705209864,135.0,ok,180.0,60.0
0.1,239.0,51,0.005,5.0,1762.5506621845,-0.1733769685,15447.875,93.0,0.8,0,4027.6795076837,2.401,1599.0377150757,139.0,ok,360.0,60.0
0.1,239.0,52,0.005,5.0,2031.5434687371,-0.289914327,15447.875,93.0,0.8,0,4222.9560238233,2.144,913.1070670303,228.0,ok,720.0,60.0
0.1,239.0,53,0.005,5.0,2523.1646448469,-0.2952740688,15447.875,93.0,0.8,0,4231.7203620732,2.19,3987.2896585863,209.0,ok,60.0,180.0
0.1,239.0,54,0.005,5.0,2087.8089889899,-0.3062496125,15447.875,93.0,0.8,0,4249.6113468857,2.419,2431.3930636386,238.0,ok,180.0,180.0
0.1,239.0,55,0.005,5.0,2039.5839918119,-0.3500348666,15447.875,93.0,0.8,0,4320.2474060624,2.182,1493.0301259619,238.0,ok,360.0,180.0
0.1,239.0,56,0.005,5.0,2246.8560518109,-0.3953924138,15447.875,93.0,0.8,0,4392.2222174789,2.125,834.3287638414,238.0,ok,720.0,180.0
0.1,239.0,57,0.005,5.0,2009.3011000506,-0.3124461197,15447.875,93.0,0.8,0,4259.6789449519,2.185,2200.0986285859,238.0,ok,60.0,360.0
0.1,239.0,58,0.005,5.0,2161.6199902143,-0.3789067476,15447.875,93.0,0.8,0,4366.1994847087,2.396,1250.8350986698,238.0,ok,180.0,360.0
0.1,239.0,59,0.005,5.0,2321.290466119,-0.4134589464,15447.875,93.0,0.8,0,4420.5644335585,2.136,740.7955246714,238.0,ok,360.0,360.0
0.1,239.0,60,0.005,5.0,2424.1852789135,-0.4372708837,15447.875,93.0,0.8,0,4457.6445949149,2.153,407.851411706,238.0,ok,720.0,360.0
0.1,239.0,61,0.005,5.0,2266.681442449,-0.3939301743,15447.875,93.0,0.8,0,4389.9202972046,2.425,786.0937940132,238.0,ok,60.0,720.0
0.1,239.0,62,0.005,5.0,2403.9695819304,-0.431135885,15447.875,93.0,0.8,0,4448.1206804401,2.118,448.1661104397,238.0,ok,180.0,720.0
0.1,239.0,63,0.005,5.0,2463.9354919891,-0.4467802851,15447.875,93.0,0.8,0,4472.3668187044,2.451,267.179089368,238.0,ok,360.0,720.0
0.1,239.0,64,0.005,5.0,2500.3318087445,-0.456392145,15447.875,93.0,0.8,0,4487.1985805101,2.142,149.1127135834,238.0,ok,720.0,720.0
0.5,239.0,65,0.005,5.0,1913.6412596233,0.2071668894,15447.875,93.0,0.8,0,3310.7547831535,2.183,5438.1415700216,126.0,ok,60.0,60.0
0.5,239.0,66,0.005,5.0,1815.5727551112,-0.0527320482,15447.875,93.0,0.8,0,3815.0044405699,2.405,2586.1426200216,135.0,ok,180.0,60.0
0.5,239.0,67,0.005,5.0,1776.6526179926,-0.192700656,15447.875,93.0,0.8,0,4060.7088754325,2.172,1449.4716752369,138.0,ok,360.0,60.0
0.5,239.0,68,0.005,5.0,2081.1783913358,-0.3041654887,15447.875,93.0,0.8,0,4246.2198619904,2.141,823.0811561543,227.0,ok,720.0,60.0
0.5,239.0,69,0.005,5.0,2409.358012803,-0.2751188371,15447.875,93.0,0.8,0,4198.6672387524,2.153,3608.1260282759,208.0,ok,60.0,180.0
0.5,239.0,70,0.005,5.0,2041.812846607,-0.3113876297,15447.875,93.0,0.8,0,4257.9608793786,2.36,2196.8409063895,237.0,ok,180.0,180.0
0.5,239.0,71,0.005,5.0,2070.4492254153,-0.3580150936,15447.875,93.0,0.8,0,4332.9973568213,2.143,1349.2173468487,238.0,ok,360.0,180.0
0.5,239.0,72,0.005,5.0,2275.5201609322,-0.4014586722,15447.875,93.0,0.8,0,4401.7591260007,2.377,754.2546545277,238.0,ok,720.0,180.0
0.5,239.0,73,0.005,5.0,2003.5414726195,-0.3205157257,15447.875,93.0,0.8,0,4272.7542456455,2.182,1986.6629489163,238.0,ok,60.0,360.0
0.5,239.0,74,0.005,5.0,2191.6709688843,-0.3857396224,15447.875,93.0,0.8,0,4377.0039960161,2.234,1129.8149533078,238.0,ok,180.0,360.0
0.5,239.0,75,0.005,5.0,2342.9203088242,-0.4181870211,15447.875,93.0,0.8,0,4427.951740233,2.395,669.3592244073,238.0,ok,360.0,360.0
0.5,239.0,76,0.005,5.0,2435.7421635633,-0.4400951656,15447.875,93.0,0.8,0,4462.022150443,2.141,368.8108216542,238.0,ok,720.0,360.0
0.5,239.0,77,0.005,5.0,2293.5559437276,-0.4002543592,15447.875,93.0,0.8,0,4399.8674415932,2.45,709.9411971282,238.0,ok,60.0,720.0
0.5,239.0,78,0.005,5.0,2417.4833311452,-0.4344964994,15447.875,93.0,0.8,0,4453.3401894157,2.165,405.1190380723,238.0,ok,180.0,720.0
0.5,239.0,79,0.005,5.0,2471.5897101505,-0.4487630533,15447.875,93.0,0.8,0,4475.4303904745,2.394,241.7877955954,238.0,ok,360.0,720.0
0.5,239.0,80,0.005,5.0,2504.4212531208,-0.4574809598,15447.875,93.0,0.8,0,4488.8756066236,2.146,135.2414276605,238.0,ok,720.0,720.0
