constant_loss,count,index,initial_flow_area_ratio,initial_loss,mae,nse,observed_peak,observed_peak_index,recession_factor,returncode,rmse,seconds,simulated_peak,simulated_peak_index,status,storage_min,tc_min
1.0,239.0,19,0.02,5.0,1382.0065621477,0.69542034,15447.875,93.0,0.7,0,2052.0435547014,2.106,10952.8665627756,94.0,ok,0.5,45.0
1.0,239.0,20,0.01,2.5,1626.1115397391,0.5755525225,15447.875,93.0,0.7,0,2422.4125292242,2.342,11821.4002055521,97.0,ok,5.0,30.0
0.5,239.0,21,0.005,5.0,1421.1165367708,0.6487864662,15447.875,93.0,0.7,0,2203.5441025241,1.922,9083.3546281411,112.0,ok,2.0,75.0
1.0,239.0,22,0.0025,2.5,1267.8463101668,0.6661701201,15447.875,93.0,0.7,0,2148.3187989492,2.366,8084.090761602,111.0,ok,1.0,75.0
1.0,239.0,23,0.005,2.5,1173.2707540126,0.7717310705,15447.875,93.0,0.7,0,1776.4767448479,2.111,10485.9962810877,96.0,ok,5.0,45.0
1.0,239.0,24,0.01,5.0,1347.9511202499,0.7000432796,15447.875,93.0,0.95,0,2036.410951445,2.124,10980.7326402303,94.0,ok,1.0,45.0
1.0,239.0,25,0.02,10.0,1896.9950659607,0.3712992416,15447.875,93.0,0.9,0,2948.2079826004,2.385,12638.3938100196,94.0,ok,0.5,30.0
1.0,239.0,26,0.02,5.0,1495.8941939053,0.5387443267,15447.875,93.0,0.8,0,2525.2651546908,2.121,7083.5508549541,118.0,ok,0.25,90.0
1.0,239.0,27,0.005,2.5,1340.8682548645,0.704098667,15447.875,93.0,0.9,0,2022.5980606026,2.374,10917.4544149915,94.0,ok,1.0,45.0
0.25,239.0,28,0.02,10.0,1286.8187764369,0.7378697901,15447.875,93.0,0.7,0,1903.683138525,2.134,12466.1816162216,96.0,ok,5.0,45.0
0.1,239.0,29,0.01,2.5,1566.0091713747,0.6587586672,15447.875,93.0,0.95,0,2172.0356065741,2.414,12917.8097732571,97.0,ok,5.0,45.0
0.1,239.0,30,0.02,5.0,1851.7733019693,0.3920606543,15447.875,93.0,0.95,0,2899.1203974639,2.162,14682.5513586064,97.0,ok,5.0,30.0
1.0,239.0,31,0.005,0.0,2006.8553650737,0.379029354,15447.875,93.0,0.7,0,2930.0272618923,2.282,12482.8974549458,94.0,ok,0.5,30.0
1.0,239.0,32,0.02,2.5,1325.5756498268,0.6685132843,15447.875,93.0,0.8,0,2140.7659577297,2.378,8183.7469584049,110.0,ok,0.25,75.0
0.25,239.0,33,0.005,5.0,1689.0837139906,0.4961300605,15447.875,93.0,0.9,0,2639.3400650444,2.114,8344.4860333334,119.0,ok,2.0,90.0
0.1,239.0,34,0.02,10.0,1588.9779131269,0.6345463065,15447.875,93.0,0.8,0,2247.7722400472,2.398,10047.4459717745,111.0,ok,0.5,75.0
1.0,239.0,35,0.0025,5.0,1154.7962988481,0.7589487932,15447.875,93.0,0.8,0,1825.5375928034,2.179,9459.9552795232,102.0,ok,0.5,60.0
0.1,239.0,36,0.02,5.0,1752.6785517862,0.4998893795,15447.875,93.0,0.8,0,2629.475716395,2.419,8685.867764836,111.0,ok,1.0,90.0
0.5,239.0,37,0.02,0.0,1505.3609926453,0.703734273,15447.875,93.0,0.95,0,2023.8430632355,2.547,10841.265312112,103.0,ok,1.0,60.0
0.05,239.0,38,0.005,5.0,1717.6651315165,0.5392528757,15447.875,93.0,0.9,0,2523.8726784104,2.391,9976.2783373837,114.0,ok,5.0,75.0
1.0,239.0,39,0.02,10.0,1480.0051377308,0.5243784321,15447.875,93.0,0.7,0,2564.2885654243,2.137,7031.63089076,118.0,ok,1.0,90.0
0.25,239.0,40,0.01,0.0,1808.7581584054,0.432466563,15447.875,93.0,0.95,0,2801.1208906348,2.404,14118.7123518805,97.0,ok,5.0,30.0
0.1,239.0,41,0.02,0.0,1535.6570894217,0.6340018223,15447.875,93.0,0.7,0,2249.4460788005,2.129,13341.8972060137,95.0,ok,2.0,45.0
0.05,239.0,42,0.0025,0.0,1749.6942835851,0.5975383654,15447.875,93.0,0.95,0,2358.8393771752,2.116,10096.0987572456,111.0,ok,0.5,75.0
1.0,239.0,43,0.01,0.0,2015.571017607,0.3764494375,15447.875,93.0,0.7,0,2936.1075738285,2.134,12498.7376222765,94.0,ok,0.25,30.0
1.0,239.0,44,0.0025,10.0,1858.7870995435,0.4131923779,15447.875,93.0,0.8,0,2848.288646836,2.169,12427.3826252913,94.0,ok,1.0,30.0
0.25,239.0,45,0.005,2.5,1611.7243656781,0.6289108533,15447.875,93.0,0.9,0,2265.0367457035,2.676,9642.7594401636,111.0,ok,1.0,75.0
0.25,239.0,46,0.01,2.5,2066.4056382291,0.2101577082,15447.875,93.0,0.9,0,3304.5042725289,2.108,14860.2685594494,94.0,ok,0.25,30.0
0.25,239.0,47,0.01,2.5,1692.8757172955,0.523478764,15447.875,93.0,0.95,0,2566.7126761261,2.35,8417.1899796726,118.0,ok,0.5,90.0
0.25,239.0,48,0.02,2.5,1626.5614615738,0.6150504027,15447.875,93.0,0.8,0,2306.9493550495,2.135,9695.5047721953,112.0,ok,2.0,75.0
0.1,239.0,49,0.0025,10.0,1963.9306266562,0.2250427856,15447.875,93.0,0.9,0,3273.2184349768,2.373,15195.8637304527,95.0,ok,1.0,30.0
1.0,239.0,50,0.005,2.5,1339.2162087053,0.6495437265,15447.875,93.0,0.9,0,2201.1672623189,2.153,8119.5471639322,111.0,ok,2.0,75.0
0.5,239.0,51,0.0025,5.0,1962.536589166,0.2919874739,15447.875,93.0,0.9,0,3128.6472238767,2.131,14014.3837378565,94.0,ok,0.25,30.0
0.25,239.0,52,0.01,5.0,1459.5478509412,0.64257958,15447.875,93.0,0.7,0,2222.9300975804,2.354,12970.7560039537,94.0,ok,0.25,45.0
0.5,239.0,53,0.01,5.0,1498.6588118188,0.6577479194,15447.875,93.0,0.9,0,2175.2499838188,2.145,9163.5591620508,110.0,ok,0.5,75.0
1.0,239.0,54,0.01,5.0,1376.2543881928,0.6866364238,15447.875,93.0,0.95,0,2081.4231620446,2.671,10995.6182492928,94.0,ok,0.5,45.0
1.0,239.0,55,0.0025,0.0,1292.6486176156,0.6683925688,15447.875,93.0,0.8,0,2141.1557171914,2.121,8102.6933057735,110.0,ok,0.25,75.0
0.1,239.0,56,0.01,2.5,1620.5673135174,0.6639009714,15447.875,93.0,0.95,0,2155.6078391467,2.371,11723.8336674363,103.0,ok,0.5,60.0
0.5,239.0,57,0.01,2.5,1370.4680917346,0.7053779112,15447.875,93.0,0.7,0,2018.2212649358,2.103,12194.917981376,95.0,ok,2.0,45.0
0.05,239.0,58,0.01,10.0,1585.5400087093,0.6250846988,15447.875,93.0,0.8,0,2276.6837531017,2.245,10099.8533203758,111.0,ok,1.0,75.0
0.1,239.0,59,0.02,2.5,1490.6020754949,0.6777124395,15447.875,93.0,0.8,0,2110.8525487862,2.152,12916.9095716268,97.0,ok,5.0,45.0
1.0,239.0,60,0.02,0.0,1569.5675969447,0.5158982743,15447.875,93.0,0.9,0,2587.0477282952,2.138,7143.4593189072,119.0,ok,2.0,90.0
0.1,239.0,61,0.0025,2.5,1588.9036818954,0.6732719062,15447.875,93.0,0.95,0,2125.3446451242,2.377,11645.7655742317,103.0,ok,0.5,60.0
0.25,239.0,62,0.005,10.0,1548.894006569,0.6260509055,15447.875,93.0,0.9,0,2273.748201857,2.136,9644.1582828531,112.0,ok,2.0,75.0
0.5,239.0,63,0.02,2.5,1457.0625714784,0.6618295656,15447.875,93.0,0.7,0,2162.2402293635,2.371,9133.6536739398,110.0,ok,0.25,75.0
1.0,239.0,64,0.0025,5.0,1467.5512441404,0.5288331694,15447.875,93.0,0.95,0,2552.2515737251,2.148,7012.7352289736,119.0,ok,1.0,90.0
0.25,239.0,65,0.01,0.0,2098.5420289986,0.2011089883,15447.875,93.0,0.9,0,3323.3791670476,2.163,14860.2685594494,94.0,ok,0.5,30.0
0.25,239.0,66,0.01,5.0,1655.064836474,0.5269721258,15447.875,93.0,0.8,0,2557.2871259251,2.437,8359.3795535078,118.0,ok,0.25,90.0
0.05,239.0,67,0.02,0.0,1837.5421826665,0.5759626538,15447.875,93.0,0.95,0,2421.2418930581,2.148,10275.1696061112,111.0,ok,0.5,75.0
0.05,239.0,68,0.01,5.0,2079.6724145458,0.1825261455,15447.875,93.0,0.9,0,3361.8091999725,2.384,15416.3369078454,95.0,ok,1.0,30.0
0.5,239.0,69,0.0025,0.0,1442.6002376237,0.6609845596,15447.875,93.0,0.7,0,2164.940001175,2.141,9089.9457844787,110.0,ok,0.25,75.0
0.5,239.0,70,0.01,2.5,1438.529795005,0.6581612121,15447.875,93.0,0.7,0,2173.9362060492,2.397,9094.2694238527,111.0,ok,1.0,75.0
0.1,239.0,71,0.0025,5.0,1686.0701279097,0.5483144105,15447.875,93.0,0.9,0,2498.9308768229,2.151,9844.287854779,114.0,ok,5.0,75.0
0.5,239.0,72,0.01,0.0,1397.3729081215,0.6997935748,15447.875,93.0,0.7,0,2037.2584001383,2.386,12194.917981376,95.0,ok,2.0,45.0
0.25,239.0,73,0.005,5.0,1648.8876049616,0.5623268882,15447.875,93.0,0.95,0,2459.8637870274,2.177,9544.965012469,114.0,ok,5.0,75.0
1.0,239.0,74,0.005,0.0,1386.3216491118,0.6928925304,15447.875,93.0,0.8,0,2060.5412612976,2.375,10916.3785883798,94.0,ok,0.25,45.0
0.5,239.0,75,0.0025,2.5,2017.1307363202,0.3012475038,15447.875,93.0,0.7,0,3108.1202425065,2.106,14000.8867562213,94.0,ok,0.5,30.0
0.1,239.0,76,0.02,2.5,2071.1987300205,0.2125566711,15447.875,93.0,0.7,0,3299.4821234391,2.163,15236.9664804527,95.0,ok,1.0,30.0
0.5,239.0,77,0.005,5.0,1699.7372591456,0.4441023327,15447.875,93.0,0.9,0,2772.257400303,2.257,7867.9745461869,119.0,ok,5.0,90.0
0.05,239.0,78,0.005,0.0,2222.474929267,0.1255483326,15447.875,93.0,0.95,0,3476.9947165315,2.123,15452.9633767201,94.0,ok,0.5,30.0
1.0,239.0,79,0.01,0.0,1313.0659609166,0.7291908084,15447.875,93.0,0.7,0,1934.9414408404,2.45,10857.7413665811,95.0,ok,2.0,45.0
0.5,239.0,80,0.02,0.0,1533.3237065856,0.6457338561,15447.875,93.0,0.8,0,2213.0995543085,2.174,9161.437391988,111.0,ok,1.0,75.0
0.5,239.0,81,0.01,10.0,1364.4772519251,0.6798456668,15447.875,93.0,0.9,0,2103.8550646702,2.369,12301.934848618,94.0,ok,1.0,45.0
0.05,239.0,82,0.01,0.0,1725.2327175993,0.5405294946,15447.875,93.0,0.7,0,2520.373732528,2.152,9960.5791774421,114.0,ok,5.0,75.0
0.5,239.0,83,0.02,2.5,1462.8775998524,0.6615390073,15447.875,93.0,0.7,0,2163.1689357787,2.166,12304.4651283681,94.0,ok,0.5,45.0
1.0,239.0,84,0.01,0.0,1241.6371904599,0.7457840099,15447.875,93.0,0.9,0,1874.7249431873,2.383,9530.1938762414,102.0,ok,0.25,60.0
0.1,239.0,85,0.01,0.0,2000.4625510048,0.269308584,15447.875,93.0,0.7,0,3178.3603066942,2.143,15033.8434877569,95.0,ok,2.0,30.0
1.0,239.0,86,0.0025,10.0,1230.1022319923,0.7396934808,15447.875,93.0,0.8,0,1897.0494341086,2.432,10839.8403665811,95.0,ok,2.0,45.0
0.5,239.0,87,0.02,0.0,1510.2861371651,0.6618978672,15447.875,93.0,0.95,0,2162.0218605626,2.19,12375.476606376,95.0,ok,2.0,45.0
0.25,239.0,88,0.02,5.0,1554.9952105799,0.6876396252,15447.875,93.0,0.95,0,2078.0887598308,2.177,11439.4503534901,103.0,ok,0.5,60.0
1.0,239.0,89,0.02,0.0,1635.9293214958,0.5568630261,15447.875,93.0,0.9,0,2475.1704953834,2.453,11960.1960983654,97.0,ok,5.0,30.0
0.1,239.0,90,0.02,0.0,1708.2555465352,0.6071301573,15447.875,93.0,0.8,0,2330.5609867131,2.375,10047.4459717745,111.0,ok,0.25,75.0
0.25,239.0,91,0.02,10.0,1533.2251381304,0.6435873395,15447.875,93.0,0.8,0,2219.7940706577,2.405,9694.7811335439,111.0,ok,1.0,75.0
0.1,239.0,92,0.02,5.0,1753.4024810197,0.5952406606,15447.875,93.0,0.95,0,2365.5632512029,2.141,10144.1645422681,111.0,ok,1.0,75.0
0.05,239.0,93,0.0025,5.0,1678.7158516683,0.5460768473,15447.875,93.0,0.8,0,2505.112840552,2.095,9948.2010566028,114.0,ok,5.0,75.0
0.1,239.0,94,0.01,5.0,1571.4406437478,0.6343099114,15447.875,93.0,0.7,0,2248.4991124521,2.361,9980.2780036392,111.0,ok,0.5,75.0
1.0,239.0,95,0.02,2.5,1377.1105001882,0.6645463089,15447.875,93.0,0.9,0,2153.5373735719,2.139,8250.8289361022,110.0,ok,0.5,75.0
0.05,239.0,96,0.0025,2.5,1848.0863231517,0.3972270599,15447.875,93.0,0.95,0,2886.7754244316,2.383,14651.3418804461,97.0,ok,5.0,30.0
0.5,239.0,97,0.0025,10.0,1937.3735545697,0.2919129248,15447.875,93.0,0.95,0,3128.8119326583,2.123,14019.4947615159,94.0,ok,0.5,30.0
0.1,239.0,98,0.01,5.0,1649.5614550489,0.5550076664,15447.875,93.0,0.7,0,2480.3466993277,2.493,9848.2055198787,114.0,ok,5.0,75.0
0.5,239.0,99,0.02,5.0,1453.9698361533,0.6743894627,15447.875,93.0,0.95,0,2121.7067162445,2.157,12375.476606376,95.0,ok,2.0,45.0
0.05,239.0,100,0.01,5.0,1519.8242787113,0.6071895542,15447.875,93.0,0.7,0,2330.3848045813,2.166,13542.8861345387,94.0,ok,0.5,45.0
0.05,239.0,101,0.02,10.0,1432.6752157217,0.7137200347,15447.875,93.0,0.7,0,1989.4434720208,2.417,11806.7351997605,103.0,ok,0.5,60.0
0.5,239.0,102,0.005,0.0,1408.6574147577,0.7229849097,15447.875,93.0,0.9,0,1956.986543982,2.155,10652.121605514,102.0,ok,0.5,60.0
0.5,239.0,103,0.0025,0.0,1448.4998230352,0.6817498534,15447.875,93.0,0.95,0,2097.58916882,2.399,12190.176434501,95.0,ok,2.0,45.0
0.5,239.0,104,0.0025,0.0,1385.0588395071,0.7250784136,15447.875,93.0,0.95,0,1949.5776895681,2.141,11771.1041755867,96.0,ok,5.0,45.0
0.5,239.0,105,0.02,5.0,1330.9291767637,0.7423690179,15447.875,93.0,0.7,0,1887.2749269927,2.398,10658.352867986,104.0,ok,2.0,60.0
0.05,239.0,106,0.005,2.5,1750.8820477264,0.4988967434,15447.875,93.0,0.9,0,2632.0839579227,2.114,8741.256431724,108.0,ok,1.0,90.0
1.0,239.0,107,0.01,2.5,1382.2838085604,0.6880155805,15447.875,93.0,0.9,0,2076.8377948386,2.192,10975.1741546551,94.0,ok,0.25,45.0
