time_value,observed_m3s,simulated_m3s
65463120,4155.4248046875,3578.2263158137794
65463180,4039.89990234375,3448.1110591155693
65463240,3949.60009765625,3323.543061170136
65463300,3852.425048828125,3204.1915430594927
65463360,3780.97509765625,3089.622872003598
65463420,3724.175048828125,2979.345234299345
65463480,3665.25,2872.962819783988
65463540,3616.89990234375,2770.2492923893924
65463600,3571.375,2671.0489196817985
65463660,3526.10009765625,2575.1939510062166
65463720,3499.85009765625,2482.7770796174873
65463780,3487.35009765625,2395.384887082536
65463840,3474.925048828125,2317.3308508301825
65463900,3468.699951171875,2253.6497278556894
65463960,3461.22509765625,2206.006438357103
65464020,3452.550048828125,2172.6597897887286
65464080,3433.949951171875,2151.810694853543
65464140,3420.35009765625,2142.4088969219515
65464200,3409.199951171875,2143.1385747757076
65464260,3393.199951171875,2152.807189594399
65464320,3380.875,2171.3732665230277
65464380,3361.27490234375,2199.672635784193
65464440,3333.10009765625,2237.818521762962
65464500,3312.35009765625,2284.380189569481
65464560,3272.27490234375,2336.8408548917077
65464620,3228.824951171875,2392.132427236904
65464680,3186.824951171875,2447.580608574668
65464740,3137.89990234375,2501.8876039770485
65464800,3096.449951171875,2555.23351912328
65464860,3055.22509765625,2608.0453071508327
65464920,3014.27490234375,2659.2520278616867
65464980,2986.35009765625,2706.6533743823775
65465040,2946.97509765625,2748.6520426277875
65465100,2920.5,2784.3252472525496
65465160,2904.39990234375,2812.6990430832802
65465220,2878.10009765625,2832.321518928378
65465280,2843.949951171875,2840.459907351365
65465340,2799.824951171875,2834.7022632371772
65465400,2763.85009765625,2816.637092011215
65465460,2734.77490234375,2791.0852941269595
65465520,2716.925048828125,2761.518048817721
65465580,2702.5,2729.4567037049146
65465640,2689.199951171875,2697.45636703318
65465700,2674.824951171875,2668.3313363029565
65465760,2650.60009765625,2641.658706478681
65465820,2627.574951171875,2614.624334502311
65465880,2599.175048828125,2586.008048089858
65465940,2569.824951171875,2556.6798105455837
65466000,2555.75,2527.2539853742405
65466060,2548.14990234375,2497.3920958288313
65466120,2536.324951171875,2466.224315475749
65466180,2496.64990234375,2432.690619564067
65466240,2393.925048828125,2396.169306901764
65466300,2291.02490234375,2356.7511456872985
65466360,2268.425048828125,2315.4532610240226
65466420,2318.875,2273.5971323077856
65466480,2377.074951171875,2231.1213664412544
65466540,2393.85009765625,2186.8190791033744
65466600,2379.14990234375,2139.9378955626958
65466660,2365.60009765625,2090.420324123609
65466720,2348.89990234375,2038.8765837933772
65466780,2335.39990234375,1986.5476920905614
65466840,2324.0,1934.0487141398244
65466900,2319.85009765625,1881.0772476577577
65466960,2323.97509765625,1828.051067274632
65467020,2331.25,1777.8547823512858
65467080,2325.02490234375,1735.4868926232266
65467140,2322.949951171875,1705.9569141900797
65467200,2319.85009765625,1693.4681529156173
65467260,2308.47509765625,1700.3891950938657
65467320,2313.64990234375,1725.1486964306366
65467380,2308.5,1763.846450291061
65467440,2300.27490234375,1813.8939883454452
65467500,2302.324951171875,1873.9033892625557
65467560,2300.27490234375,1942.469002289475
65467620,2282.75,2018.5045196400013
65467680,2263.324951171875,2101.034643419774
65467740,2240.875,2188.6283188057964
65467800,2227.675048828125,2278.9690769128765
65467860,2231.72509765625,2368.6324642546
65467920,2251.074951171875,2453.837724508577
65467980,2258.199951171875,2531.404113621733
65468040,2238.85009765625,2599.20728527991
65468100,2199.324951171875,2656.2418539085184
65468160,2161.125,2702.100816429791
65468220,2133.175048828125,2736.361508173527
65468280,2112.324951171875,2758.4570574531026
65468340,2089.60009765625,2767.6018641919577
65468400,2066.02490234375,2762.4091063724086
65468460,2034.75,2740.5132002520027
65468520,2001.0250244140625,2699.255922227019
65468580,1967.9749755859375,2638.3571591804534
65468640,1944.5999755859375,2561.582410922305
65468700,1923.7750244140625,2475.017346763238
65468760,1889.6500244140625,2384.7051218370357
65468820,1852.0999755859375,2295.013137311449
65468880,1802.9000244140625,2207.662882990921
65468940,1763.625,2122.6511192870175
65469000,1736.5250244140625,2039.3406303905733
65469060,1718.9000244140625,1955.6309773716212
65469120,1708.324951171875,1868.5279257138336
65469180,1702.4749755859375,1780.9739544120534
65469240,1700.175048828125,1700.0238147287866
65469300,1693.1500244140625,1626.6970625678277
65469360,1676.875,1558.3125808781854
65469420,1643.3499755859375,1495.4296145441838
65469480,1588.425048828125,1437.4282762914095
65469540,1515.125,1381.6678041126393
65469600,1444.2249755859375,1327.5771269219085
65469660,1400.625,1275.81787264501
65469720,1389.7750244140625,1226.1187660098476
65469780,1396.25,1178.1543186465392
65469840,1400.5999755859375,1131.8199882032966
65469900,1399.5,1087.0806503754013
65469960,1393.0250244140625,1044.0854324821007
65470020,1386.5250244140625,1002.9690531051376
65470080,1378.949951171875,963.8880043704637
65470140,1369.2750244140625,926.5293671455653
65470200,1361.75,890.4812706904735
65470260,1348.925048828125,855.8382466739571
65470320,1315.949951171875,823.1452304103487
65470380,1263.449951171875,794.9947103363642
65470440,1210.675048828125,775.4263155314521
65470500,1174.9749755859375,763.5178997283657
65470560,1158.75,753.4205666371884
65470620,1159.800048828125,743.6648470403201
65470680,1161.7750244140625,736.1236740769525
65470740,1164.8499755859375,729.295492337995
65470800,1173.949951171875,722.4036540322267
65470860,1200.4749755859375,718.7085531479877
65470920,1228.1500244140625,723.0317134016856
65470980,1228.125,738.2151954634624
65471040,1219.875,763.7509937209275
65471100,1198.3499755859375,798.459946450909
65471160,1165.8499755859375,840.5900222913865
65471220,1137.6500244140625,889.3414298657461
65471280,1127.675048828125,946.5384991220066
65471340,1115.699951171875,1014.0117050376623
65471400,1113.699951171875,1091.3609137427545
65471460,1116.699951171875,1176.0834225407593
65471520,1142.675048828125,1266.0748658509576
65471580,1195.3499755859375,1359.789698322572
65471640,1249.9000244140625,1454.7438330758087
65471700,1291.699951171875,1547.9171975262318
65471760,1307.4749755859375,1637.1132236257229
65471820,1318.050048828125,1721.1344709696732
65471880,1321.2249755859375,1799.3182940021863
65471940,1335.0250244140625,1871.2143127807533
65472000,1336.125,1936.011820535399
65472060,1366.074951171875,1992.1608550216888
65472120,1402.800048828125,2037.7661972717112
65472180,1436.574951171875,2071.306282264204
65472240,1464.0250244140625,2091.30612089686
65472300,1517.4000244140625,2095.228089918799
65472360,1620.4749755859375,2081.2333955380855
65472420,1730.699951171875,2052.6988618060896
65472480,1798.0999755859375,2016.4481570096318
65472540,1842.449951171875,1975.5654384202635
65472600,1912.824951171875,1929.923973360442
