CD_MUN;NM_MUN;V05000;V05001;V05002;V05003;V05004;V05005;V05006;V05007;V05008;V05009;V05010;V05011;V05012;V05013;V05014;V05015;V05016;V05017;V05018;V05019;V05020;V05021;V05022;V05023;V05024;V05025;V05026;V05027;V05028;V05029;V05030;V05031;V05032;V05033;V05034;V05400;V05401;V05402;V05403;V05404;V05405;V05406;V05407;V05408;V05409;V05410;V05411;V05412;V05413;V05414;V05415;V05416;V05417;V05418;V05419;V05420;V05421;V05422;V05423;V05424;V05425;V05426;V05427;V05428;V05429;V05430;V05431;V05432;V05433;V05434;V05200;V05201;V05202;V05203;V05204;V05205;V05206;V05207;V05208;V05209;V05210;V05211;V05212;V05213;V05214;V05215;V05216;V05217;V05218;V05219;V05220;V05221;V05222;V05223;V05224;V05225;V05226;V05227;V05228;V05229;V05230;V05231;V05232;V05233;V05234
4310579;Itapuca;222;222;0;0;0;0;173;49;0;193;29;0;221;1;0;0;222;0;0;222;0;173;49;0;101;72;49;66;107;49;174;18;9;21;0;157;153;2;2;0;0;105;52;0;114;43;0;145;12;0;0;157;0;0;157;0;104;53;0;48;56;53;40;64;53;127;11;3;16;0;545;545;0;0;0;0;415;130;0;474;71;0;544;1;0;0;545;0;0;545;0;415;130;0;237;178;130;153;262;130;428;44;18;55;0
4311122;Jaquirana;865;839;20;6;0;0;675;190;0;438;427;0;824;41;0;5;860;0;0;865;0;675;190;0;296;379;190;403;272;190;603;146;86;30;0;212;195;9;8;0;0;136;76;0;95;117;0;182;30;0;6;206;0;0;212;0;135;77;0;63;72;77;63;72;77;160;25;22;5;0;2379;2300;58;21;0;0;1874;505;0;1190;1189;0;2264;115;0;14;2365;0;0;2379;0;1879;500;0;823;1056;500;1134;745;500;1695;380;225;79;0
4311304;Lagoa Vermelha;9565;9255;306;4;0;0;8697;868;0;8004;1561;0;9467;98;0;688;8877;0;29;9536;0;8276;1289;0;5615;2661;1289;1740;6536;1289;4162;2180;1042;2181;0;2469;2370;92;3;0;4;2026;439;4;1835;630;4;2291;174;4;193;2272;4;13;2452;4;1862;603;4;1221;641;607;350;1512;607;1468;450;202;345;4;24286;23486;792;8;0;0;21892;2394;0;20260;4026;0;24024;262;0;1731;22555;0;65;24221;0;20791;3495;0;14433;6358;3495;4018;16773;3495;10991;5506;2602;5187;0
4311403;Lajeado;37824;37220;562;42;0;0;31256;6568;0;32040;5784;0;37519;305;0;3921;33903;0;849;36975;0;29965;7859;0;21182;8783;7859;9934;20031;7859;9126;6801;5538;16359;0;8764;8536;188;32;0;8;6406;2350;8;6742;2014;8;7969;787;8;757;7999;8;201;8555;8;5189;3567;8;3335;1854;3575;1396;3793;3575;3584;1459;1057;2656;8;92655;91014;1545;96;0;0;74596;18059;0;77682;14973;0;91800;855;0;9743;82912;0;2181;90474;0;71201;21454;0;51394;19807;21454;21919;49282;21454;22736;16642;13541;39736;0
4311809;Marau;15559;15388;156;0;0;15;15259;285;15;13800;1744;15;15427;117;15;1842;13702;15;136;15408;15;14626;918;15;8318;6308;933;3956;10670;933;4225;3472;2689;5158;15;3275;3217;48;3;0;7;3085;183;7;2661;607;7;3187;81;7;369;2899;7;41;3227;7;2731;537;7;1551;1180;544;565;2166;544;1194;700;470;904;7;40351;39886;422;0;0;43;39566;742;43;35587;4721;43;39968;340;43;4633;35675;43;347;39961;43;37773;2535;43;21849;15924;2578;9554;28219;2578;10785;9119;6952;13452;43
4312054;Marques de Souza;629;606;23;0;0;0;473;156;0;527;102;0;625;4;0;107;522;0;0;629;0;432;197;0;286;146;197;206;226;197;182;116;69;262;0;277;273;2;2;0;0;138;139;0;182;95;0;236;41;0;22;255;0;0;277;0;129;148;0;74;55;148;54;75;148;128;39;21;89;0;1478;1420;58;0;0;0;1117;361;0;1245;233;0;1470;8;0;272;1206;0;0;1478;0;1016;462;0;666;350;462;462;554;462;435;256;176;611;0
4312138;Mato Castelhano;272;272;0;0;0;0;214;58;0;208;64;0;259;13;0;45;227;0;0;272;0;212;60;0;114;98;60;71;141;60;175;37;17;43;0;156;149;0;3;0;4;68;84;4;104;48;4;130;22;4;13;139;4;0;152;4;92;60;4;54;38;64;30;62;64;105;12;6;29;4;720;720;0;0;0;0;570;150;0;527;193;0;682;38;0;127;593;0;0;720;0;538;182;0;272;266;182;177;361;182;458;111;44;107;0
4312153;Mato Leitão;714;714;0;0;0;0;456;258;0;528;186;0;701;13;0;73;641;0;18;696;0;429;285;0;136;293;285;344;85;285;220;85;69;340;0;298;297;1;0;0;0;170;128;0;204;94;0;261;37;0;16;282;0;8;290;0;133;165;0;27;106;165;110;23;165;123;40;27;108;0;1793;1793;0;0;0;0;1125;668;0;1310;483;0;1765;28;0;188;1605;0;47;1746;0;1066;727;0;363;703;727;855;211;727;575;226;175;817;0
4312351;Montauri;303;303;0;0;0;0;297;6;0;297;6;0;303;0;0;18;285;0;0;303;0;280;23;0;132;148;23;90;190;23;63;28;30;182;0;158;156;1;1;0;0;138;20;0;138;20;0;150;8;0;6;152;0;0;158;0;117;41;0;59;58;41;37;80;41;64;10;16;68;0;788;788;0;0;0;0;774;14;0;774;14;0;788;0;0;47;741;0;0;788;0;735;53;0;347;388;53;218;517;53;165;67;78;478;0
4312377;Monte Alegre dos Campos;273;250;23;0;0;0;53;220;0;115;158;0;221;52;0;13;260;0;0;273;0;58;215;0;39;19;215;29;29;215;155;79;39;0;0;195;169;22;4;0;0;46;149;0;54;141;0;133;62;0;9;186;0;1;194;0;37;158;0;19;18;158;22;15;158;131;42;16;6;0;724;668;56;0;0;0;136;588;0;315;409;0;596;128;0;41;683;0;0;724;0;164;560;0;110;54;560;80;84;560;388;220;116;0;0
