setor;pop;sigilo_pop;dom;sigilo_dom;mulheres;sigilo_mulheres;c0_4;sigilo_c0_4;c5_9;sigilo_c5_9;i60_69;sigilo_i60_69;i70m;sigilo_i70m;indigenas;sigilo_indigenas;pretos_pardos;sigilo_pretos_pardos;dom_ocupados;sigilo_dom_ocupados;dom_agua;sigilo_dom_agua;dom_esgoto;sigilo_dom_esgoto;renda_resp;sigilo_renda_resp;n_resp;sigilo_n_resp;area_pct_bacia;metodo_recorte_bacia;dens;sigilo_dens;pop_n_validos;pop_n_total;pop_completude;dom_n_validos;dom_n_total;dom_completude;dom_ocupados_n_validos;dom_ocupados_n_total;dom_ocupados_completude;mulheres_n_validos;mulheres_n_total;mulheres_completude;c0_4_n_validos;c0_4_n_total;c0_4_completude;c5_9_n_validos;c5_9_n_total;c5_9_completude;i60_69_n_validos;i60_69_n_total;i60_69_completude;i70m_n_validos;i70m_n_total;i70m_completude;indigenas_n_validos;indigenas_n_total;indigenas_completude;pretos_pardos_n_validos;pretos_pardos_n_total;pretos_pardos_completude;dom_agua_n_validos;dom_agua_n_total;dom_agua_completude;dom_esgoto_n_validos;dom_esgoto_n_total;dom_esgoto_completude;n_resp_n_validos;n_resp_n_total;n_resp_completude;renda_resp_n_validos;renda_resp_n_total;renda_resp_completude;dens_n_validos;dens_n_total;dens_completude;na_bacia;status_borda_bacia;metodo_area_bacia;metodo_na_bacia;municipio;cod_mun;mun_pct_na_bacia;mun_pop_total;mun_pop_na_bacia;mun_ubs_iede;mun_hospitais_iede;mun_escolas_iede;mun_bombeiros_iede;mun_servicos_cobertura;mun_icm_faixa;mun_icm_pontos;mun_icm_prioritario;mun_ubs_iede_status;mun_hospitais_iede_status;mun_escolas_iede_status;mun_bombeiros_iede_status;mun_icm_atualizado_em;mun_icm_versao
430080205000010;21;False;10;0;14;0;3;0;;1;;1;;1;0;0;0;0;8;0;8;0;7;0;2865.5;0;8;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";33.8;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430080205000012;66;False;26;0;35;0;;1;;1;;1;;1;0;0;0;0;25;0;25;0;7;0;4735.32;0;25;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";1710.9;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430080205000014;148;False;65;0;80;0;10;0;10;0;25;0;16;0;4;0;26;0;59;0;53;0;8;0;2718.05;0;59;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";312.4;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430080205000016;4;False;3;0;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";48.3;False;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430080205000020;91;False;56;0;43;0;;1;;1;16;0;12;0;0;0;;1;38;0;0;0;0;0;2828.74;0;38;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";10.4;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430080205000022;6;False;3;0;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";10.3;False;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;1;0.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430080205000023;121;False;99;0;61;0;7;0;;1;25;0;16;0;0;0;;1;47;0;3;0;0;0;2196.68;0;47;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";8.2;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430080205000024;548;False;280;0;251;0;24;0;24;0;78;0;71;0;0;0;43;0;183;0;101;0;0;0;3492.08;0;183;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";9.8;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430080205000027;134;False;62;0;60;0;;1;;1;21;0;16;0;0;0;;1;44;0;0;0;0;0;3870.45;0;44;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";10.3;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
430080205000029;68;False;35;0;37;0;;1;3;0;8;0;14;0;0;0;;1;20;0;4;0;0;0;5311.2;0;20;0;100.0;"ponto_representativo_setor_2022; area_pct_geometrica";8.7;False;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;0;1;0.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;1;1.0;1;total;interseção geométrica em EPSG:5880;ponto_representativo_setor_2022_within_bacia;Antônio Prado;4300802;100.0;13045;13045;7;1;14;;cadastro_IEDE_parcial_nao_inventario;A;16;não;published;published;published;unknown;2026-08-13;base_completa_icm_082026.xlsx
