candidate_id,constant_loss,event_id,initial_flow_ratio,initial_loss,k,mae_m3s,nse,observed_peak_m3s,pairs,peak_lag_hours,peak_relative_error,recession,research_score,rmse_m3s,simulated_peak_m3s,status,storage,tc
15,2.0,E28,0.003,2.5,1.0,709.0753664071538,0.6055666056080713,7886.72509765625,209,2.0,0.35643539254672185,0.9,0.4942795270987269,1120.5854576251977,5075.6171415650615,replay_scored_not_promoted,45.0,25.0
1,2.0,E28,0.003,2.5,1.0,707.7634785234204,0.6043588287331998,7886.72509765625,209,2.0,0.3571088332636005,0.8,0.49293706208047966,1122.2997936130794,5070.305899761471,replay_scored_not_promoted,45.0,25.0
14,2.0,E28,0.003,2.5,1.0,708.1214638913467,0.6029027190181127,7886.72509765625,209,2.0,0.35777105588513763,0.7,0.4913485078410851,1124.3631415410362,5065.083131991958,replay_scored_not_promoted,45.0,25.0
4,2.0,E28,0.003,2.5,1.0,652.1508401324614,0.6884444896474697,7886.72509765625,209,-7.0,0.31202434064712226,0.8,0.48603962151804525,995.9232290425975,5425.874899194948,replay_scored_not_promoted,45.0,15.0
17,2.0,E28,0.001,2.5,1.0,714.483509507916,0.5955949046126405,7886.72509765625,209,2.0,0.36025278357887297,0.8,0.4835443478968659,1134.6618499233107,5045.510427904227,replay_scored_not_promoted,45.0,25.0
7,2.0,E28,0.003,5.0,1.0,733.1164090885314,0.5728935622381188,7886.72509765625,209,2.0,0.3728154318262655,0.8,0.4583304758728657,1166.0742427829002,4946.432274678489,replay_scored_not_promoted,45.0,25.0
20,2.0,E28,0.003,2.5,2.0,738.4066732642615,0.538086904082864,7886.72509765625,209,4.0,0.3611885857883559,0.8,0.38584918692519277,1212.6578466352344,5038.130013132256,replay_scored_not_promoted,45.0,25.0
22,1.0,E28,0.001,5.0,1.0,1056.0588735791805,0.4604885929024224,7886.72509765625,209,-1.0,0.4165171658920149,0.9,0.3571851597240194,1310.5646798353373,4601.768711811044,replay_scored_not_promoted,60.0,20.0
3,2.0,E28,0.003,2.5,1.0,741.2329229938885,0.5052179496193863,7886.72509765625,209,6.0,0.3812395511835295,0.8,0.30897003938268036,1255.061800961155,4879.9935611179035,replay_scored_not_promoted,45.0,30.0
9,3.0,E28,0.003,2.5,1.0,940.3046748694098,0.43190986586452196,7886.72509765625,209,2.0,0.4257963882368575,0.8,0.30675058821715045,1344.8280755143903,4528.5860360572415,replay_scored_not_promoted,45.0,25.0
12,2.0,E28,0.003,2.5,1.0,892.7121356191321,0.3579986267048355,7886.72509765625,209,2.0,0.48642536581367274,0.8,0.22071355354210098,1429.6381279653615,4050.4219569569345,replay_scored_not_promoted,60.0,25.0
21,3.0,E28,0.0025,1.0,1.0,1012.4527235086741,0.27297681401621365,7886.72509765625,209,-2.0,0.5206568684837786,0.85,0.12884544031945794,1521.3609838432735,3780.447505718125,replay_scored_not_promoted,60.0,20.0
10,4.0,E28,0.003,2.5,1.0,1303.2141083762378,0.18362200436875964,7886.72509765625,209,2.0,0.48683873293694463,0.8,0.0462542577813707,1612.143842325621,4047.1618440912803,replay_scored_not_promoted,45.0,25.0
5,2.0,E28,0.003,2.5,1.0,820.0592050651428,0.25736433127378877,7886.72509765625,209,15.0,0.4280766064803393,0.8,-0.12825099002227908,1537.6094726642405,4510.60258160824,replay_scored_not_promoted,45.0,40.0
13,2.0,E28,0.003,2.5,1.0,1164.8628751667384,-0.04420342776266506,7886.72509765625,209,3.0,0.6326262542852931,0.8,-0.23072867861972368,1823.2688022346558,2897.3757405481647,replay_scored_not_promoted,90.0,25.0
