hora_modelo,hora_alvo,observado_em,observado_cm,previsto_cm,erro_cm,erro_abs_cm,nivel_modelo_cm,nivel_rio_agora_cm,modelo,horizonte
2026-08-21T03:00:00,2026-08-21T07:00:00,2026-08-21T07:00:00,379,387,8.0,8.0,394,390,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T04:00:00,2026-08-21T08:00:00,2026-08-21T08:00:00,375,385,10.0,10.0,389,386,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T05:00:00,2026-08-21T09:00:00,2026-08-21T09:00:00,369,382,13.0,13.0,385,383,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T06:00:00,2026-08-21T10:00:00,2026-08-21T10:00:00,358,377,19.0,19.0,382,376,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T07:00:00,2026-08-21T11:00:00,2026-08-21T11:00:00,339,372,33.0,33.0,379,371,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T08:00:00,2026-08-21T12:00:00,2026-08-21T12:00:00,324,366,42.0,42.0,375,371,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T09:00:00,2026-08-21T13:00:00,2026-08-21T13:00:00,317,318,1.0,1.0,369,343,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T10:00:00,2026-08-21T14:00:00,2026-08-21T14:00:00,315,312,-3.0,3.0,358,343,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T11:00:00,2026-08-21T15:00:00,2026-08-21T15:00:00,317,323,6.0,6.0,339,318,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T12:00:00,2026-08-21T16:00:00,2026-08-21T16:00:00,320,329,9.0,9.0,324,318,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T13:00:00,2026-08-21T17:00:00,2026-08-21T17:00:00,325,331,6.0,6.0,317,316,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T14:00:00,2026-08-21T18:00:00,2026-08-21T18:00:00,332,334,2.0,2.0,315,316,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T15:00:00,2026-08-21T19:00:00,2026-08-21T19:00:00,352,342,-10.0,10.0,317,324,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T16:00:00,2026-08-21T20:00:00,2026-08-21T20:00:00,376,344,-32.0,32.0,320,330,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T17:00:00,2026-08-21T21:00:00,2026-08-21T21:00:00,389,361,-28.0,28.0,325,330,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T18:00:00,2026-08-21T22:00:00,2026-08-21T22:00:00,391,411,20.0,20.0,332,345,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T19:00:00,2026-08-21T23:00:00,2026-08-21T23:00:00,392,404,12.0,12.0,352,371,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T20:00:00,2026-08-22T00:00:00,2026-08-22T00:00:00,390,393,3.0,3.0,376,386,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T21:00:00,2026-08-22T01:00:00,2026-08-22T01:00:00,387,390,3.0,3.0,389,392,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
2026-08-21T22:00:00,2026-08-22T02:00:00,2026-08-22T02:00:00,383,384,1.0,1.0,391,392,V01_R_VAL_TROCA_E16_POR_E15_nh52_nit10_cic100000,4h
