constant_loss,events,fitness,index,initial_flow_area_ratio,initial_loss,mean_abs_peak_lag_hours,mean_nse,mean_peak_relative_error,recession_factor,returncode,seconds,status,storage_min,tc_min
0.75,1.0,0.4957970199,58,0.02,15.0,0.0,0.5990371393,0.5162005968,0.85,0,2.597,ok,30.0,60.0
0.75,1.0,0.4909148763,59,0.01,15.0,0.0,0.5954098518,0.5224748775,0.9,0,2.214,ok,30.0,60.0
0.75,1.0,0.4964996135,60,0.02,15.0,0.0,0.5989384646,0.5121942554,0.9,0,2.283,ok,30.0,60.0
0.75,1.0,-0.9267370128,61,0.01,15.0,91.0,0.1230006304,0.6986882158,0.85,0,2.464,ok,60.0,60.0
0.75,1.0,-0.9198671296,62,0.02,15.0,91.0,0.128976577,0.6942185327,0.85,0,2.213,ok,60.0,60.0
0.75,1.0,-0.9319013705,63,0.01,15.0,91.0,0.1173512475,0.6962630899,0.9,0,2.469,ok,60.0,60.0
0.75,1.0,-0.9322206273,64,0.02,15.0,91.0,0.1156530289,0.6893682808,0.9,0,2.212,ok,60.0,60.0
1.0,1.0,0.011374902,65,0.01,15.0,0.0,0.0312187759,0.0992193695,0.85,0,2.484,ok,30.0,20.0
1.0,1.0,-0.0260123042,66,0.02,15.0,0.0,-0.0078239206,0.0909419181,0.85,0,2.304,ok,30.0,20.0
1.0,1.0,0.0088189374,67,0.01,15.0,0.0,0.0282621772,0.0972161988,0.9,0,2.577,ok,30.0,20.0
1.0,1.0,-0.0370682265,68,0.02,15.0,0.0,-0.0196811112,0.0869355767,0.9,0,2.231,ok,30.0,20.0
1.0,1.0,0.4702518719,69,0.01,15.0,0.0,0.5560624882,0.4290530812,0.85,0,2.217,ok,60.0,20.0
1.0,1.0,0.4584011101,70,0.02,15.0,0.0,0.5425562361,0.4207756298,0.85,0,2.544,ok,60.0,20.0
1.0,1.0,0.4662409131,71,0.01,15.0,0.0,0.5516508952,0.4270499105,0.9,0,2.236,ok,60.0,20.0
1.0,1.0,0.44835441,72,0.02,15.0,0.0,0.5317082677,0.4167692884,0.9,0,2.467,ok,60.0,20.0
1.0,1.0,0.2590172523,73,0.01,15.0,0.0,0.3101286755,0.2555571162,0.85,0,2.235,ok,30.0,30.0
1.0,1.0,0.2333391231,74,0.02,15.0,0.0,0.2827950561,0.2472796648,0.85,0,2.511,ok,30.0,30.0
1.0,1.0,0.2573395297,75,0.01,15.0,0.0,0.3080503188,0.2535539455,0.9,0,2.249,ok,30.0,30.0
1.0,1.0,0.2257030102,76,0.02,15.0,0.0,0.2743576749,0.2432733234,0.9,0,2.645,ok,30.0,30.0
1.0,1.0,0.4176569973,77,0.01,15.0,0.0,0.5234814361,0.5291221942,0.85,0,2.264,ok,60.0,30.0
1.0,1.0,0.4123983982,78,0.02,15.0,0.0,0.5165673468,0.5208447428,0.85,0,2.183,ok,60.0,30.0
1.0,1.0,0.4140925184,79,0.01,15.0,0.0,0.5195163231,0.5271190235,0.9,0,2.504,ok,60.0,30.0
1.0,1.0,0.4032446582,80,0.02,15.0,0.0,0.5066123385,0.5168384015,0.9,0,1.997,ok,60.0,30.0
1.0,1.0,0.5712460688,81,0.01,15.0,0.0,0.6499129093,0.3933342026,0.85,0,2.449,ok,30.0,45.0
1.0,1.0,0.5673646128,82,0.02,15.0,0.0,0.644375963,0.3850567512,0.85,0,2.18,ok,30.0,45.0
1.0,1.0,0.5728241557,83,0.01,15.0,0.0,0.6510903621,0.3913310319,0.9,0,2.503,ok,30.0,45.0
1.0,1.0,0.5677910582,84,0.02,15.0,0.0,0.6440011402,0.3810504099,0.9,0,2.176,ok,30.0,45.0
