base_end,base_start,bias_cm,contract_id,event,horizon_hours,mae_cm,method,model,n,n_common_event_points,nse,peak_abs_error_cm,peak_error_cm,peak_lag_hours,peak_observed_cm,peak_predicted_cm,r2,rmse_cm
2026-06-30 18:00,2026-06-29 05:00,9.983357,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,33,8,38.683305,baseline,Ridge,29,29,-0.93853228,61.454006,61.454006,-11.0,526.0,587.454006,-0.93853228,50.523831
2026-07-05 23:00,2026-07-02 07:00,-11.37538,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,34,8,32.339471,baseline,Ridge,89,89,0.9036691,23.013388,-23.013388,5.0,882.0,858.986612,0.9036691,45.719044
2026-07-23 23:00,2026-07-21 15:00,-78.677871,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,35,8,105.611184,baseline,Ridge,47,47,0.84251252,38.925929,-38.925929,0.0,1986.0,1947.074071,0.84251252,160.314572
2026-07-31 00:00,2026-07-26 19:00,-27.165897,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,37,8,56.76088,baseline,Ridge,102,102,0.9581888,10.959834,-10.959834,0.0,1531.0,1520.040166,0.9581888,85.998324
2025-07-04 02:00,2025-06-28 19:00,-43.759857,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,31,8,50.830595,baseline,MLP,128,128,0.93904117,56.936634,-56.936634,-1.0,1499.0,1442.063366,0.93904117,83.624474
2026-06-30 18:00,2026-06-29 05:00,2.286954,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,33,8,48.693876,baseline,MLP,29,29,-2.24138564,123.532792,123.532792,0.0,526.0,649.532792,-2.24138564,65.331872
2026-07-05 23:00,2026-07-02 07:00,-23.655678,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,34,8,40.963819,baseline,MLP,89,89,0.85871721,34.171147,-34.171147,8.0,882.0,847.828853,0.85871721,55.368018
2026-07-23 23:00,2026-07-21 15:00,-40.289422,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,35,8,143.762871,baseline,MLP,47,47,0.76611209,21.655831,21.655831,2.0,1986.0,2007.655831,0.76611209,195.368196
2026-07-31 00:00,2026-07-26 19:00,-70.101339,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,37,8,104.259128,baseline,MLP,102,102,0.87759894,53.891275,53.891275,2.0,1531.0,1584.891275,0.87759894,147.141866
2025-07-04 02:00,2025-06-28 19:00,33.221704,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,31,8,115.482883,baseline,Random Forest,128,128,0.66631341,598.950718,598.950718,-1.0,1499.0,2097.950718,0.66631341,195.652076
2026-06-30 18:00,2026-06-29 05:00,18.924136,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,33,8,26.213025,baseline,Random Forest,29,29,0.29516638,24.903918,24.903918,-15.0,526.0,550.903918,0.29516638,30.465132
2026-07-05 23:00,2026-07-02 07:00,-4.902937,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,34,8,43.003734,baseline,Random Forest,89,89,0.84670054,162.477165,162.477165,7.0,882.0,1044.477165,0.84670054,57.674608
2026-07-23 23:00,2026-07-21 15:00,49.825858,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,35,8,212.068774,baseline,Random Forest,47,47,0.61527556,137.038624,137.038624,5.0,1986.0,2123.038624,0.61527556,250.567574
2026-07-31 00:00,2026-07-26 19:00,-12.427398,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,37,8,174.364339,baseline,Random Forest,102,102,0.69473603,371.747363,371.747363,0.0,1531.0,1902.747363,0.69473603,232.370743
2025-07-04 02:00,2025-06-28 19:00,36.077192,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,31,8,118.318387,baseline,XGBoost,128,128,0.6349355,605.147949,605.147949,0.0,1499.0,2104.147949,0.6349355,204.64441
2026-06-30 18:00,2026-06-29 05:00,28.842811,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,33,8,30.918682,baseline,XGBoost,29,29,-0.13123927,71.022156,71.022156,-15.0,526.0,597.022156,-0.13123927,38.595528
2026-07-05 23:00,2026-07-02 07:00,-2.317195,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,34,8,37.725581,baseline,XGBoost,89,89,0.892211,90.276489,90.276489,6.0,882.0,972.276489,0.892211,48.361701
2026-07-23 23:00,2026-07-21 15:00,24.12262,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,35,8,209.275182,baseline,XGBoost,47,47,0.61600795,133.362061,133.362061,0.0,1986.0,2119.362061,0.61600795,250.328959
2026-07-31 00:00,2026-07-26 19:00,47.268607,032_alt_MUC_H08_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,37,8,151.929691,baseline,XGBoost,102,102,0.74647781,508.08728,508.08728,0.0,1531.0,2039.08728,0.74647781,211.763773
2025-07-04 02:00,2025-06-28 19:00,-10.469555,036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,31,12,63.130025,RNA fonte Q62,RNA 036,128,128,0.88205164,172.348166,172.348166,5.0,1499.0,1671.348166,0.88205164,118.003948
2026-06-30 18:00,2026-06-29 05:00,18.77114,036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,33,12,76.042344,RNA fonte Q62,RNA 036,29,29,-3.43845185,169.364527,169.364527,-8.0,551.0,720.364527,-3.43845185,95.286465
2026-07-05 23:00,2026-07-02 07:00,15.577255,036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,34,12,48.291286,RNA fonte Q62,RNA 036,89,89,0.84781786,121.096877,121.096877,-3.0,882.0,1003.096877,0.84781786,59.578381
2026-07-23 23:00,2026-07-21 15:00,-65.529762,036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,35,12,241.527248,RNA fonte Q62,RNA 036,47,47,0.38540348,114.025928,114.025928,5.0,1986.0,2100.025928,0.38540348,340.883027
2026-07-31 00:00,2026-07-26 19:00,10.559218,036_alt_MUC_H12_V24_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,37,12,116.817539,RNA fonte Q62,RNA 036,102,102,0.86657753,256.944316,256.944316,-1.0,1531.0,1787.944316,0.86657753,150.611091
2025-07-04 02:00,2025-06-28 19:00,-13.866482,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,31,12,60.553723,RNA fonte Q62,RNA 037,128,128,0.89618783,166.58879,166.58879,0.0,1499.0,1665.58879,0.89618783,110.706909
2026-06-30 18:00,2026-06-29 05:00,10.455724,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,33,12,70.160664,RNA fonte Q62,RNA 037,29,29,-2.55211532,105.615636,105.615636,-8.0,551.0,656.615636,-2.55211532,85.243051
2026-07-05 23:00,2026-07-02 07:00,6.306204,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,34,12,41.212644,RNA fonte Q62,RNA 037,89,89,0.89033055,114.488303,114.488303,-3.0,882.0,996.488303,0.89033055,50.576606
2026-07-23 23:00,2026-07-21 15:00,-50.4662,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,35,12,221.903348,RNA fonte Q62,RNA 037,47,47,0.48316616,111.026241,111.026241,5.0,1986.0,2097.026241,0.48316616,312.597718
2026-07-31 00:00,2026-07-26 19:00,23.052983,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,37,12,121.282761,RNA fonte Q62,RNA 037,102,102,0.86650783,277.754972,277.754972,-1.0,1531.0,1808.754972,0.86650783,150.650425
2025-07-04 02:00,2025-06-28 19:00,1.869798,038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,31,12,62.175086,RNA fonte Q62,RNA 038,128,128,0.91241893,200.449521,200.449521,0.0,1499.0,1699.449521,0.91241893,101.684723
2026-06-30 18:00,2026-06-29 05:00,10.882188,038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,33,12,81.826336,RNA fonte Q62,RNA 038,29,29,-3.81928158,166.649497,166.649497,-8.0,551.0,717.649497,-3.81928158,99.290251
2026-07-05 23:00,2026-07-02 07:00,17.377165,038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,34,12,52.148244,RNA fonte Q62,RNA 038,89,89,0.83530313,107.16241,107.16241,-3.0,882.0,989.16241,0.83530313,61.979708
2026-07-23 23:00,2026-07-21 15:00,-34.676137,038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,35,12,224.08503,RNA fonte Q62,RNA 038,47,47,0.51604126,74.05915,74.05915,4.0,1986.0,2060.05915,0.51604126,302.492421
2026-07-31 00:00,2026-07-26 19:00,22.84976,038_alt_MUC_H12_V24_RAIN24_DIFF_R00_T31-33-34-35-37_V18-20-21,37,12,115.402986,RNA fonte Q62,RNA 038,102,102,0.8774324,339.056724,339.056724,-1.0,1531.0,1870.056724,0.8774324,144.354494
2025-07-04 02:00,2025-06-28 19:00,-5.539068,039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,31,12,56.911184,RNA fonte Q62,RNA 039,128,128,0.91983561,133.125157,133.125157,-1.0,1499.0,1632.125157,0.91983561,97.283982
2026-06-30 18:00,2026-06-29 05:00,11.170887,039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,33,12,78.189651,RNA fonte Q62,RNA 039,29,29,-3.45734462,137.470375,137.470375,-8.0,551.0,688.470375,-3.45734462,95.489048
2026-07-05 23:00,2026-07-02 07:00,11.281624,039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,34,12,50.29263,RNA fonte Q62,RNA 039,89,89,0.85136741,44.679516,44.679516,-3.0,882.0,926.679516,0.85136741,58.879468
2026-07-23 23:00,2026-07-21 15:00,-45.683961,039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,35,12,175.811407,RNA fonte Q62,RNA 039,47,47,0.66863659,29.648461,-29.648461,5.0,1986.0,1956.351539,0.66863659,250.301012
2026-07-31 00:00,2026-07-26 19:00,17.876783,039_alt_MUC_H12_V24_RAIN18_24_48_R00_T31-33-34-35-37_V18-20-21,37,12,105.412805,RNA fonte Q62,RNA 039,102,102,0.89060579,293.27145,293.27145,-1.0,1531.0,1824.27145,0.89060579,136.376532
2025-07-04 02:00,2025-06-28 19:00,-16.501686,040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,31,12,56.216099,RNA fonte Q62,RNA 040,128,128,0.90501159,59.945336,59.945336,-1.0,1499.0,1558.945336,0.90501159,105.897545
2026-06-30 18:00,2026-06-29 05:00,34.984212,040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,33,12,88.598742,RNA fonte Q62,RNA 040,29,29,-5.33972047,171.157348,171.157348,-8.0,551.0,722.157348,-5.33972047,113.880801
2026-07-05 23:00,2026-07-02 07:00,11.962957,040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,34,12,52.935366,RNA fonte Q62,RNA 040,89,89,0.80871259,112.166398,112.166398,-3.0,882.0,994.166398,0.80871259,66.795936
2026-07-23 23:00,2026-07-21 15:00,-78.339674,040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,35,12,202.002311,RNA fonte Q62,RNA 040,47,47,0.51414467,71.43145,71.43145,4.0,1986.0,2057.43145,0.51414467,303.084563
2026-07-31 00:00,2026-07-26 19:00,9.179027,040_alt_MUC_H12_V15_RAIN24_MEAN_R00_T31-33-34-35-37_V18-20-21,37,12,103.420086,RNA fonte Q62,RNA 040,102,102,0.88665738,179.918283,179.918283,-4.0,1531.0,1710.918283,0.88665738,138.81586
2025-07-04 02:00,2025-06-28 19:00,7.382812,nivel_86510000,31,12,181.257812,baseline,Persistência,128,128,0.38526986,0.0,0.0,12.0,1499.0,1499.0,0.38526986,269.397055
2026-06-30 18:00,2026-06-29 05:00,22.551724,nivel_86510000,33,12,45.931034,baseline,Persistência,29,29,-0.73798732,0.0,0.0,12.0,551.0,551.0,-0.73798732,59.626423
2026-07-05 23:00,2026-07-02 07:00,2.606742,nivel_86510000,34,12,110.179775,baseline,Persistência,89,89,0.15026782,0.0,0.0,12.0,882.0,882.0,0.15026782,140.782245
2026-07-23 23:00,2026-07-21 15:00,-100.106383,nivel_86510000,35,12,506.617021,baseline,Persistência,47,47,-1.05209794,0.0,0.0,12.0,1986.0,1986.0,-1.05209794,622.887152
2026-07-31 00:00,2026-07-26 19:00,-39.137255,nivel_86510000,37,12,230.313725,baseline,Persistência,102,102,0.49861725,0.0,0.0,12.0,1531.0,1531.0,0.49861725,291.962561
2025-07-04 02:00,2025-06-28 19:00,-45.752333,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,31,12,59.591385,baseline,Ridge,128,128,0.89241063,86.546494,86.546494,-3.0,1499.0,1585.546494,0.89241063,112.702949
2026-06-30 18:00,2026-06-29 05:00,18.846133,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,33,12,61.67283,baseline,Ridge,29,29,-1.83063038,102.383383,102.383383,-8.0,551.0,653.383383,-1.83063038,76.095161
2026-07-05 23:00,2026-07-02 07:00,-20.861105,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,34,12,46.927562,baseline,Ridge,89,89,0.83468113,61.578745,-61.578745,-5.0,882.0,820.421255,0.83468113,62.096635
2026-07-23 23:00,2026-07-21 15:00,-79.948372,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,35,12,134.828578,baseline,Ridge,47,47,0.75565221,86.343878,-86.343878,3.0,1986.0,1899.656122,0.75565221,214.938661
2026-07-31 00:00,2026-07-26 19:00,-33.573865,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,37,12,84.761309,baseline,Ridge,102,102,0.90941522,37.171661,37.171661,-1.0,1531.0,1568.171661,0.90941522,124.099518
2025-07-04 02:00,2025-06-28 19:00,-33.261489,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,31,12,69.675363,baseline,MLP,128,128,0.87312357,72.734646,72.734646,4.0,1499.0,1571.734646,0.87312357,122.38863
2026-06-30 18:00,2026-06-29 05:00,-24.367693,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,33,12,59.88906,baseline,MLP,29,29,-1.61528411,5.542741,-5.542741,7.0,551.0,545.457259,-1.61528411,73.143358
2026-07-05 23:00,2026-07-02 07:00,-28.363658,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,34,12,60.545236,baseline,MLP,89,89,0.69180197,5.416787,-5.416787,10.0,882.0,876.583213,0.69180197,84.785539
2026-07-23 23:00,2026-07-21 15:00,15.502536,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,35,12,213.579451,baseline,MLP,47,47,0.66887425,228.879767,228.879767,2.0,1986.0,2214.879767,0.66887425,250.211234
2026-07-31 00:00,2026-07-26 19:00,-60.698563,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,37,12,150.121792,baseline,MLP,102,102,0.76983003,191.358283,191.358283,7.0,1531.0,1722.358283,0.76983003,197.818453
2025-07-04 02:00,2025-06-28 19:00,16.120328,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,31,12,142.880802,baseline,Random Forest,128,128,0.4694547,559.229354,559.229354,2.0,1499.0,2058.229354,0.4694547,250.271747
2026-06-30 18:00,2026-06-29 05:00,21.91058,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,33,12,36.337214,baseline,Random Forest,29,29,0.00096213,46.689661,46.689661,-8.0,551.0,597.689661,0.00096213,45.207078
2026-07-05 23:00,2026-07-02 07:00,-7.258548,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,34,12,61.65756,baseline,Random Forest,89,89,0.65657658,213.101818,213.101818,11.0,882.0,1095.101818,0.65657658,89.499747
2026-07-23 23:00,2026-07-21 15:00,12.316347,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,35,12,252.753609,baseline,Random Forest,47,47,0.39053879,123.922143,123.922143,0.0,1986.0,2109.922143,0.39053879,339.455902
2026-07-31 00:00,2026-07-26 19:00,7.882273,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,37,12,235.547399,baseline,Random Forest,102,102,0.46501187,511.80687,511.80687,2.0,1531.0,2042.80687,0.46501187,301.588338
2025-07-04 02:00,2025-06-28 19:00,38.562398,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,31,12,142.968413,baseline,XGBoost,128,128,0.52277484,581.934814,581.934814,2.0,1499.0,2080.934814,0.52277484,237.362582
2026-06-30 18:00,2026-06-29 05:00,10.76206,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,33,12,39.952725,baseline,XGBoost,29,29,0.06000706,6.36853,6.36853,-8.0,551.0,557.36853,0.06000706,43.850823
2026-07-05 23:00,2026-07-02 07:00,-17.783785,037_alt_MUC_H12_V24_RAIN24_UPSTREAM_R00_T31-33-34-35-37_V18-20-21,34,12,56.332496,baseline,XGBoost,89,89,0.78159153,106.239197,106.239197,9.0,882.0,988.239197,0.78159153,71.374255
