MODELO;HORIZONTE_H;EVENTO;CONJUNTO;N;PERS_EVENTO;MAE_EVENTO;NASH_EVENTO;CORR_EVENTO;RMSE_EVENTO;MAX_ABS_EVENTO;AMPLITUDE_OBSERVADA;RISE_POINTS;FALL_POINTS;SHAPE_OBSERVADA;BIAS_EVENTO;PLATEAU_POINTS_OBS;TARGET_MISSING_SAME_EVENT
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;34;Teste;77;0.7655094281640905;23.373031245632106;0.9513451887653628;0.9792297543532997;29.09219229261424;109.54853591193262;444.0;22;51;subida_e_descida;10.30876263434683;3;4
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;35;Teste;40;0.6932805150925385;106.20549940439454;0.8650332694007006;0.951175540437402;153.31821560453199;468.6553475469477;1637.0;19;20;subida_e_descida;-36.963500006183274;0;6
006_MUC_H04_CONTROLE_15INPUTS_NH32_S06;4;37;Teste;67;0.8021060910258078;41.31163558887209;0.9726965610076667;0.9888182980283741;56.84439802426816;176.46877999770675;1091.0;36;30;subida_e_descida;-1.3107684720333668;0;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;4;Treino;69;0.7241246569331394;23.84455197063111;0.9393985822432528;0.9736767908882002;34.40704968743969;121.55679583777146;428.0;19;49;subida_e_descida;9.8625180295508;0;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;5;Treino;81;0.7944701842296759;25.3895037649617;0.9723086397080103;0.9878930670287075;37.64590750016403;175.4798510257607;687.0;30;49;subida_e_descida;11.040448562201407;1;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;6;Treino;51;0.8527822335598302;27.937323316710174;0.9344795549429806;0.9806018305242507;39.89276519729924;122.08891391642646;533.0;13;37;subida_e_descida;7.572950248025006;0;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;7;Treino;46;0.06677758098350994;35.54687408256328;0.3789777250536981;0.812429870934634;51.72354892539247;146.9883794610397;229.0;10;35;subida_e_descida;11.722048856399537;0;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;11;Treino;69;0.6490098583935211;16.789077478199232;0.9587562139165283;0.9829678656522374;22.22967637385657;62.55169721566892;358.0;21;45;subida_e_descida;7.138264568533269;2;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;12;Treino;174;0.7551475413783515;42.2520247105589;0.9774374078044866;0.9888383279711653;72.24945837714107;359.5898546607656;1725.0;39;131;subida_e_descida;-8.681354237483504;3;14
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;13;Treino;60;0.5118758289768235;20.969421247928167;0.8709570719940559;0.9517976991979247;26.29130347825912;63.41499298866961;234.0;24;34;subida_e_descida;11.583193472637273;1;4
007_MUC_H04_SEM_SANTA_TEREZA_NH48_S07;4;18;Validação;145;0.6588013799416059;25.69393756892785;0.975817768268053;0.9880417248894963;40.66290746789132;199.5274627636445;942.0;55;88;subida_e_descida;0.9219500245370419;1;4
