ordem,name,tipo,excel,horizonte,receita,rot_id,input,nh,nit,Cic,faixaEntrada,faixaSaida,SERIE,CEL,evt_teste,evt_valida,n_linhas_workbook,n_invalidas_temporais,n_evento32_total,n_treino_previsto,n_validacao_prevista,n_teste_previsto,mat,mascara,seed,Prc,Mom,gate_eventos,source_workbook
11,011_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH32_M00_S11,alt,011_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH32_M00_S11.xlsx,8,V24_RAIN18_24_48_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,28,32,10,100000,H2:AI682,AJ2:AJ682,AL2:AL682,AM2:AM682,31 34 37,18 21,681,0,0,293,132,256,mat/011_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH32_M00_S11.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_11.csv,78011,0.001,0.0,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\68_FILA_MATLAB_MUCUM_H08_H12_MOMENTUM_20260826\planilhas\068_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_M00_S01.xlsx
12,012_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH48_M00_S12,alt,012_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH48_M00_S12.xlsx,8,V24_RAIN18_24_48_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,28,48,10,100000,H2:AI682,AJ2:AJ682,AL2:AL682,AM2:AM682,31 34 37,18 21,681,0,0,293,132,256,mat/012_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH48_M00_S12.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_12.csv,78012,0.001,0.0,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\68_FILA_MATLAB_MUCUM_H08_H12_MOMENTUM_20260826\planilhas\068_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_M00_S02.xlsx
13,013_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH56_M03_S13,alt,013_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH56_M03_S13.xlsx,8,V24_RAIN18_24_48_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,28,56,10,100000,H2:AI682,AJ2:AJ682,AL2:AL682,AM2:AM682,31 34 37,18 21,681,0,0,293,132,256,mat/013_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH56_M03_S13.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_13.csv,78013,0.001,0.3,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\68_FILA_MATLAB_MUCUM_H08_H12_MOMENTUM_20260826\planilhas\068_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_M03_S01.xlsx
14,014_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH64_M06_S14,alt,014_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH64_M06_S14.xlsx,8,V24_RAIN18_24_48_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,28,64,10,100000,H2:AI682,AJ2:AJ682,AL2:AL682,AM2:AM682,31 34 37,18 21,681,0,0,293,132,256,mat/014_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH64_M06_S14.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_14.csv,78014,0.001,0.6,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\68_FILA_MATLAB_MUCUM_H08_H12_MOMENTUM_20260826\planilhas\068_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_M06_S02.xlsx
15,015_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH72_M06_S15,alt,015_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH72_M06_S15.xlsx,8,V24_RAIN18_24_48_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,28,72,10,100000,H2:AI682,AJ2:AJ682,AL2:AL682,AM2:AM682,31 34 37,18 21,681,0,0,293,132,256,mat/015_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH72_M06_S15.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_15.csv,78015,0.001,0.6,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\68_FILA_MATLAB_MUCUM_H08_H12_MOMENTUM_20260826\planilhas\068_alt_MUC_H08_V24_RAIN18_24_48_SIGMOID_M06_S03.xlsx
16,016_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH32_M00_S16,alt,016_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH32_M00_S16.xlsx,12,V24_RAIN18_24_48_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,28,32,10,100000,H2:AI639,AJ2:AJ639,AL2:AL639,AM2:AM639,31 34 37,18 21,638,0,0,254,132,252,mat/016_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH32_M00_S16.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_16.csv,78016,0.001,0.0,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\68_FILA_MATLAB_MUCUM_H08_H12_MOMENTUM_20260826\planilhas\068_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_M00_S01.xlsx
17,017_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH48_M00_S17,alt,017_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH48_M00_S17.xlsx,12,V24_RAIN18_24_48_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,28,48,10,100000,H2:AI639,AJ2:AJ639,AL2:AL639,AM2:AM639,31 34 37,18 21,638,0,0,254,132,252,mat/017_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH48_M00_S17.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_17.csv,78017,0.001,0.0,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\68_FILA_MATLAB_MUCUM_H08_H12_MOMENTUM_20260826\planilhas\068_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_M00_S02.xlsx
18,018_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH56_M03_S18,alt,018_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH56_M03_S18.xlsx,12,V24_RAIN18_24_48_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,28,56,10,100000,H2:AI639,AJ2:AJ639,AL2:AL639,AM2:AM639,31 34 37,18 21,638,0,0,254,132,252,mat/018_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH56_M03_S18.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_18.csv,78018,0.001,0.3,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\68_FILA_MATLAB_MUCUM_H08_H12_MOMENTUM_20260826\planilhas\068_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_M03_S01.xlsx
19,019_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH64_M06_S19,alt,019_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH64_M06_S19.xlsx,12,V24_RAIN18_24_48_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,28,64,10,100000,H2:AI639,AJ2:AJ639,AL2:AL639,AM2:AM639,31 34 37,18 21,638,0,0,254,132,252,mat/019_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH64_M06_S19.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_19.csv,78019,0.001,0.6,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\68_FILA_MATLAB_MUCUM_H08_H12_MOMENTUM_20260826\planilhas\068_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_M06_S02.xlsx
20,020_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH72_M06_S20,alt,020_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH72_M06_S20.xlsx,12,V24_RAIN18_24_48_RISE_GATE,EVENTOS_COMPLETOS_RISE_GATE,28,72,10,100000,H2:AI639,AJ2:AJ639,AL2:AL639,AM2:AM639,31 34 37,18 21,638,0,0,254,132,252,mat/020_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH72_M06_S20.mat,mascaras/MASCARA_EVENTOS_COMPLETOS_20.csv,78020,0.001,0.6,rise_to_peak_then_first_below_500;min35;peak_minus5;recession5;rise20;exact_t_plus_H_same_event,D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\68_FILA_MATLAB_MUCUM_H08_H12_MOMENTUM_20260826\planilhas\068_alt_MUC_H12_V24_RAIN18_24_48_SIGMOID_M06_S03.xlsx
