MODELO;HORIZONTE_H;EVENTO;CONJUNTO;N;PERS_EVENTO;MAE_EVENTO;NASH_EVENTO;CORR_EVENTO;RMSE_EVENTO;MAX_ABS_EVENTO;AMPLITUDE_OBSERVADA;RISE_POINTS;FALL_POINTS;SHAPE_OBSERVADA
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;12;Treino;175;0.9552947149424308;10.89603303648383;0.9987621039773246;0.999456638143695;16.192735147075673;75.02576928735164;1696.0;38;133;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;13;Treino;60;0.8546046301471785;6.008727305366964;0.9900514274979826;0.9969493938700368;7.481306545306352;25.306517381429444;285.0;28;30;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;18;Validacao;145;0.8095591674355432;8.622108065271037;0.9963975379686211;0.9983087889119057;16.043316640540702;124.17421908383187;1134.0;59;84;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;21;Validacao;113;0.971745010078279;5.85533045624409;0.9991962767260838;0.999651701524092;10.071738410713083;55.93350631276212;1093.0;24;85;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;22;Treino;95;0.9505282711834092;12.263863219446105;0.9943674451413299;0.9976823597816936;22.37043182455596;171.4470890665002;1455.0;33;60;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;23;Validacao;58;0.932110707073086;7.744352484445439;0.9911464184565427;0.9956303572418658;10.305277906177565;32.56028696687099;358.0;12;41;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;24;Teste;199;0.9329737237582868;10.232076365938989;0.9993112008553477;0.999673988236059;13.981077015939734;63.53084025225917;1757.0;82;113;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;30;Treino;58;0.5871803746451193;12.558748852388375;0.9623148317295828;0.981299562886141;16.83175998728024;46.19994688087411;331.0;25;31;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;31;Teste;116;0.9788059604085474;5.876264895726356;0.9994593936383839;0.999781648215005;7.793429911672823;25.13571877726031;1041.0;24;91;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;34;Teste;77;0.8004162044444106;7.8512186875115315;0.9887026595413102;0.9943792183780782;14.452636369684292;68.27080505631756;528.0;24;49;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;35;Teste;40;0.9573593977682625;17.894833793040615;0.9960258338823679;0.9980783413731062;29.216704468280085;123.00603048597986;1603.0;19;20;subida_e_descida
002_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH32_M00_S02;2;37;Teste;69;0.9665858808024911;8.688100532982842;0.9989045914868505;0.9995462556111262;11.860624365804131;34.00405197925909;1091.0;36;32;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;4;Treino;69;0.9516857033065733;5.358838390612682;0.9971896334852711;0.9987789705609554;7.488911520874613;28.19555654190674;510.0;23;45;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;5;Treino;81;0.8625847354240064;9.510918675992041;0.9950522282554309;0.9979363855616713;16.082265969647743;80.87920346867213;826.0;34;45;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;6;Treino;51;0.9692875870735409;6.700334005804348;0.9966430856152936;0.9985031286277032;9.34771767848448;29.846335033589185;597.0;17;33;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;7;Treino;46;0.8852785867984655;7.575558041303526;0.9800749786570516;0.9913991368523577;9.922243903323412;28.682305560311534;306.0;14;31;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;11;Treino;108;0.9673090600851643;7.293383413558582;0.9968329988308107;0.9990475188466754;10.154709324809026;38.93213131426012;750.0;36;68;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;12;Treino;175;0.9534044321571249;12.007266616636148;0.9987097617645717;0.999455768470805;16.53153125789828;71.35285870694668;1696.0;38;133;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;13;Treino;60;0.8440687142529558;6.360694670578599;0.9893305151109173;0.9970420973482869;7.7476285693316935;20.892044369005248;285.0;28;30;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;18;Validacao;145;0.8322776808604626;8.96438335921709;0.9968272912989367;0.9985642487998845;15.055998014019382;107.37509385055989;1134.0;59;84;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;21;Validacao;113;0.9689674206620114;6.213024171369175;0.9991172672036801;0.99962903645384;10.555183705938306;59.47560173708234;1093.0;24;85;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;22;Treino;95;0.9434235752054642;14.019403214724685;0.9935585469926862;0.9972647549055614;23.922886168930503;170.1630193201022;1455.0;33;60;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;23;Validacao;58;0.9421038991556945;7.22347439474342;0.9924496510749478;0.996283681676184;9.516641806188408;26.1370961292522;358.0;12;41;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;24;Teste;199;0.8967462498826406;12.095284292275561;0.9989389072651673;0.9995217875859023;17.352857443127473;72.2324052258532;1757.0;82;113;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;30;Treino;58;0.6599478020823772;11.572874822834466;0.9689575700568148;0.9849266416314335;15.276439875650446;43.839057458788375;331.0;25;31;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;31;Teste;116;0.9628774680597092;7.8809768148058295;0.9990530980731813;0.9996478929255543;10.31431897874003;34.31679514844859;1041.0;24;91;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;34;Teste;77;0.8310986509510685;7.320591611373598;0.9904394240082165;0.9952574292937384;13.295387401718754;65.3771638730015;528.0;24;49;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;35;Teste;40;0.9271511542004005;27.30029067431417;0.9932103816660006;0.9970565686258207;38.188350536980685;118.7924747367723;1603.0;19;20;subida_e_descida
003_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH48_M03_S03;2;37;Teste;69;0.9485554077376276;11.301685275589936;0.9983135020262959;0.9992914836891903;14.716766783916553;36.226401447590206;1091.0;36;32;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;4;Treino;69;0.9393652621953682;6.369941707880208;0.9964729728378995;0.9986607589710687;8.389607062018424;28.504962204781123;510.0;23;45;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;5;Treino;81;0.8673377047628176;8.503214954807273;0.9952233635908679;0.997889985360287;15.801688799681314;86.92446704263568;826.0;34;45;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;6;Treino;51;0.958079845606942;8.05442669998561;0.9954180620836229;0.9977922490089799;10.920940850829115;36.04534441283613;597.0;17;33;subida_e_descida
004_MUC_H02_BASE_COMPLETA_Q58_V15_RISE_GATE_NH56_M06_S04;2;7;Treino;46;0.8590972906181676;8.47850328568402;0.9755277640558675;0.9908664786376354;10.9963189053717;28.804167796093566;306.0;14;31;subida_e_descida
