MODELO;TIPO;PLAN;input;faixaEntrada;faixaSaida;CEL;SERIE;nh;nit;Cic;J;N_GERAL;N_TREINO;N_VALIDACAO;N_TESTE;NASH_GERAL;NASH_TREINO;NASH_VALIDACAO;NASH_TESTE;PERS_GERAL;PERS_TREINO;PERS_VALIDACAO;PERS_TESTE;MAE_GERAL;MAE_TREINO;MAE_VALIDACAO;MAE_TESTE;E95_GERAL;E95_TREINO;E95_VALIDACAO;E95_TESTE;CORR_GERAL;CORR_TREINO;CORR_VALIDACAO;CORR_TESTE;arquivo_mat
011_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH32_M00_S11;alt;VAR;28;H2:AI682;AJ2:AJ682;AM2:AM682;AL2:AL682;32;10;100000;122;681;293;132;256;0.9623157908;0.9686668022;0.9553383848;0.9507215735;0.8804476254;0.8979496768;0.8876403360;0.8470159852;47.0605576449;48.1518740644;37.8202722769;50.5760340420;157.0456539429;146.3781813436;143.6674497763;179.1758132269;0.9817244411;0.9843385630;0.9776216604;0.9787444547;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\011_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH32_M00_S11.mat
012_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH48_M00_S12;alt;VAR;28;H2:AI682;AJ2:AJ682;AM2:AM682;AL2:AL682;48;10;100000;181;681;293;132;256;0.9655911812;0.9727174429;0.9537750778;0.9544503138;0.8908387339;0.9111423677;0.8837073694;0.8585917942;44.7913559073;45.0058932871;37.4248502779;48.3441656371;148.8859271642;143.0954408389;141.2642815730;176.3023226427;0.9832212637;0.9863930974;0.9770604080;0.9795856630;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\012_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH48_M00_S12.mat
013_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH56_M03_S13;alt;VAR;28;H2:AI682;AJ2:AJ682;AM2:AM682;AL2:AL682;56;10;100000;111;681;293;132;256;0.9654547015;0.9725055031;0.9535235988;0.9544819383;0.8904057548;0.9104520926;0.8830746985;0.8586899719;44.9014038624;45.1775073959;37.5780980752;48.3614742866;149.0600969870;141.9745899448;141.0931632095;175.2961127720;0.9831322462;0.9862701054;0.9769337357;0.9795393013;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\013_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH56_M03_S13.mat
014_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH64_M06_S14;alt;VAR;28;H2:AI682;AJ2:AJ682;AM2:AM682;AL2:AL682;64;10;100000;92;681;293;132;256;0.9667783501;0.9745422487;0.9536107557;0.9550143439;0.8946050026;0.9170856494;0.8832939679;0.8603428159;44.1615286125;44.0309300721;37.4620778300;47.7654070329;151.8471049993;142.0017659368;144.2745154924;172.5595233923;0.9837405426;0.9872646092;0.9770746748;0.9797811155;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\014_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH64_M06_S14.mat
015_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH72_M06_S15;alt;VAR;28;H2:AI682;AJ2:AJ682;AM2:AM682;AL2:AL682;72;10;100000;103;681;293;132;256;0.9665722063;0.9742152748;0.9526184786;0.9552842119;0.8939510156;0.9160207153;0.8807975976;0.8611806163;44.2092187320;44.1139125080;37.6350202411;47.7081207806;151.3175505474;142.1074938605;145.2768923046;174.2628939356;0.9836309576;0.9871247980;0.9765894133;0.9796928243;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\015_MUC_H08_V24_RAIN18_24_48_RISE_GATE_NH72_M06_S15.mat
016_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH32_M00_S16;alt;VAR;28;H2:AI639;AJ2:AJ639;AM2:AM639;AL2:AL639;32;10;100000;3181;638;254;132;252;0.9097199159;0.9763417256;0.7740966988;0.8658537580;0.8155938011;0.9251772344;0.7153126754;0.7894030984;62.1573651440;38.4297868881;73.1860995647;80.2963013878;275.5771058939;126.4531137334;332.1911473747;308.7188148234;0.9566268802;0.9881351942;0.8884976725;0.9424968636;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\016_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH32_M00_S16.mat
017_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH48_M00_S17;alt;VAR;28;H2:AI639;AJ2:AJ639;AM2:AM639;AL2:AL639;48;10;100000;89666;638;254;132;252;0.9077912290;0.9726774544;0.7793914121;0.8635498699;0.8116542632;0.9135884387;0.7219851664;0.7857862121;63.1756252588;40.7167947866;72.8756238496;80.7317487746;271.0673344839;126.4174653684;352.9840131611;308.2782455213;0.9547023592;0.9862627988;0.8884118859;0.9373239135;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\017_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH48_M00_S17.mat
018_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH56_M03_S18;alt;VAR;28;H2:AI639;AJ2:AJ639;AM2:AM639;AL2:AL639;56;10;100000;62055;638;254;132;252;0.9140905524;0.9712818970;0.7888044037;0.8788419229;0.8245212680;0.9091747836;0.7338475846;0.8097932878;60.2559693259;41.3898576406;68.0442991433;75.1922107233;240.7467434945;128.0862787654;361.5961692954;299.3417133573;0.9575376906;0.9855583325;0.8945717596;0.9427425174;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\018_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH56_M03_S18.mat
019_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH64_M06_S19;alt;VAR;28;H2:AI639;AJ2:AJ639;AM2:AM639;AL2:AL639;64;10;100000;39215;638;254;132;252;0.9120254568;0.9714072440;0.7885433564;0.8732987808;0.8203031014;0.9095712120;0.7335186081;0.8010910794;61.0776355703;41.2509843337;68.6687944625;77.0853198574;247.5292495788;133.0104099689;354.4314715448;285.7462626161;0.9565421751;0.9856360809;0.8945430618;0.9407331843;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\019_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH64_M06_S19.mat
020_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH72_M06_S20;alt;VAR;28;H2:AI639;AJ2:AJ639;AM2:AM639;AL2:AL639;72;10;100000;42240;638;254;132;252;0.9115887074;0.9725841694;0.7882607126;0.8707646757;0.8194109966;0.9132934112;0.7331624154;0.7971127743;61.3140891142;40.6792064869;69.1021869895;78.0332608119;252.1622139897;132.3355299166;354.6879543380;297.7717425019;0.9562392670;0.9862528189;0.8932533904;0.9394688786;D:\PREVINE\redes_neurais\mucum\PREPARACAO_RNA_MUC_CORRIGIDA_2026_08_08\79_FILA_MATLAB_MUCUM_BASE_COMPLETA_EVENTOS_20260911\mat\020_MUC_H12_V24_RAIN18_24_48_RISE_GATE_NH72_M06_S20.mat
