x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
703,-9,-20,-34,2,-2,-5.40761419,5,9,854,-10,-20,-41,29,36,703,-17,-34,686,669,1,4
705.539,9.539,19.539,39.539,-0.461,-0.461,-0.461,-5.461,2.539,814,9,19,60,10,15,705.539,12.1296,15.461,717.6686,721,1,4
706,-6,-11,-15,-1,-2,-6.3578,-15.539,-16,835,-5,-8,-4,-22,-12,706,-13,-25,693,681,1,4
706,15,31,112,-1,-17,-30,17,-5,879,8,21,96,-35,15,706,23,71,729,777,1,21
706,24,44,61,4,13,12,6,24,904,16,43,98,3,19,706,33,43,739,749,1,12
707,-7,-15,-48,1,6,6,-11,-9,837,-3,-14,-42,-2,-31,707,-12,-35,695,672,1,6
707,-5,-6,-7,-4,-5,3,3,2,787,-35,-55,-55,-28,-22,707,-36,-50,671,657,1,6
709,-4,-6,-15,-2,-1,-1,3,-11,841,-25,-32,-43,-26,-30,709,-31,-52,678,657,1,12
711,-10,-17,-31,-3,-3,2,11,3,809,-17,-41,-60,-1,-13,711,-30,-57,681,654,1,2
712,-20,-35,-53,-5,-12,-6,-4,-6,845,-18,-48,-83,-31,18,712,-28,-38,684,674,1,22
712,-11,-18,-28.59238581,-4,-4,-8.11430892,10,13,864,-10,-19,-30,23,42,712,-16,-34,696,678,1,4
712,-5,-9,-8.6422,-1,-5,-7.9736,-15,-20,840,-3,-4,3,-25,-2,712,-11,-24,701,688,1,4
712,-1,-1,-10,-1,0,23,6,13,822,-20,-21,-15,-12,-7,712,-20,-53,692,659,1,6
713,-2,-5,-14,1,4,-4,0,-16,866,-7,-11,-25,-11,-13,713,-16,-49,697,664,1,12
713,-1,-9,-55,7,23,10,4,26,843,0,1,-46,14,25,713,-1,-21,712,692,1,6
713,0,-1,-33,1,8,22,7,24,842,-1,-1,-4,2,20,713,-6,-42,707,671,1,6
713,13,20,23,6,13,2,11,-3,890,23,47,61,-2,28,713,33,80,746,793,1,6
713,14,28,40,0,4,18,12,-21,872,9,21,85,-6,5,713,21,16,734,729,1,3
714,-8,-32,-65,16,14,0,-1,6,843,1,6,-70,46,17,714,-1,-7,713,707,1,6
714,-8,-21,-54,5,12,-3,-1,-11,840,-11,-18,-76,-10,-16,714,-12,-33,702,681,1,6
715,-3,-9,-10,3,0,-1,-3,-22,873,-4,-4,-19,-14,-22,715,-6,-37,709,678,1,12
716,-23,-41,-62,-5,-12,-20,-20,-21,859,-2,-29,-91,-1,-13,716,-16,-21,700,695,1,21
716,10,25,73,-5,-6,-39,7,-57,901,22,30,68,31,76,716,35,78,751,794,1,21
717,-4,-4,-0.6686,-4,-4.3578,-9.0344,-14,-19,843,-1,-1,18,-19,4,717,-11,-24,706,693,1,4
718,-6,-9,-9,-3,-8,7,-9,-30,877,0,-7,-5,-16,-4,718,-5,-21,713,697,1,12
719,-7,-17,-38,3,4,1,-3,-5,856,5,1,-35,-7,5,719,2,-3,721,716,1,15
720.6422,2.9736,8.008,24.6422,-2.0608,-4.1216,-7.0264,-12.0264,-10.0264,839,2,14,44,-7,8,720.6422,0.3578,-8.6422,721,712,1,4
721,0,0.3578,8.3658,-0.3578,-2.9736,-7.0952,-10,-17,844,0,5,30,-20,2,721,-9,-20,712,701,1,4
721,0.3578,3.3314,15.461,-2.6158,-4.6766,-9.1812,-9.6422,-14.6422,844,5,7,39,-7,7,721,-4,-15,717,706,1,4
721,8,22,46,-6,-6,6,7,-12,890,18,27,83,12,4,721,19,-7,740,714,1,3
722,-24,-46,-65,-2,-13,-17,-10,-12,842,5,-4,-86,32,30,722,-9,-10,713,712,1,6
722,-13,-33,-51,7,0,-5,-6,-22,851,-7,-9,-72,-9,-15,722,-15,-27,707,695,1,6
723,-7,-14,-20.47807689,0,-3.40761419,-3.59164364,29,20,874,-9,-16,-23,17,34,723,-20,-37,703,686,1,4
724,-3,-1,-16,-5,-1,4,-10,-23,877,-7,-14,-19,-34,-73,724,-9,-15,715,709,1,12
725,-2,-15,-24,11,5,-2,-21,-8,891,-1,9,-26,-22,-20,725,-1,-10,724,715,1,12
725,19,43,74,-5,-1,13,-23,31,914,10,26,103,-32,14,725,21,24,746,749,1,12
725,27,35,44,19,22,27,25,7,948,34,102,143,6,11,725,58,70,783,795,1,6
726,-10,-21,-39,1,0,-4,-8,-5,851,-4,-16,-50,-8,-8,726,-8,-5,718,721,1,15
727,-13,-20,-22,-6,-11,-16,-37,-25,892,10,-4,-27,5,-32,727,0,-9,727,718,1,12
727,2,0,-20,4,15,4,-12,-9,884,-7,-8,-26,-36,-30,727,-9,-14,718,713,1,12
729,13,23,54,3,-2,-19,2,-39,934,33,55,89,48,55,729,48,69,777,798,1,21
730,-7,-10.59238581,-16.88643325,-3.40761419,-4.11430892,-2.88643325,23,16,883,-7,-12,-24,10,22,730,-18,-34,712,696,1,4
731,18,31,38,5,11,15,15,-8,900,10,33,80,0,12,731,33,86,764,817,1,6
732,-15,-23,-47,-7,-5,8,-1,26,863,-30,-48,-80,-7,5,732,-36,-55,696,677,1,22
735,-20,-33,-46,-7,-15,-14,-20,-40,858,-2,-21,-66,-6,-9,735,-21,-33,714,702,1,6
735,-7,-19,-52,5,10,7,5,-14,858,-9,-11,-58,1,-10,735,-14,-39,721,696,1,2
736,-11,-21,-35,-1,-3,-8,-12,-5,855,-12,-23,-54,-9,-23,736,-17,-15,719,721,1,15
737,-3.59238581,-6.47807689,-14,-0.70669473,-0.18402945,10.40761419,14.40761419,12.40761419,890,-5,-4,-42,-1,9,737,-14,-34,723,703,1,4
738,6,20,36,-8,-3,2,-23,-10,882,1,4,48,-16,-10,738,6,11,744,749,1,7
739,-18,-29,-42,-7,-8,-21,-14,-12,861,-27,-56,-98,-26,-31,739,-36,-40,703,699,1,21
739,14,33,77,-5,-10,3,-23,1,918,4,14,86,-15,0,739,10,8,749,747,1,12
740,-7,-9,-6,-5,-7,-14,-27,-23,882,-14,-28,-36,-20,-27,740,-15,-16,725,724,1,12
740,6,19,41,-7,-2,-8,12,0,845,-31,-45,-6,-32,-67,740,-26,-42,714,698,1,3
740.5923858,-2.88569108,-6.29404744,-24.40761419,0.52266528,1.22787567,18.11430892,21.11430892,6.11430892,895,1,-2,-96,16,21,740.5923858,-10.59238581,-28.59238581,730,712,1,4
742,-12,-29,-59,5,4,9,1,-19,867,-2,-10,-63,-5,-2,742,-14,-31,728,711,1,2
743.4780769,-3.40835636,-7.52192311,-42.52192311,0.70521039,10.59164364,32.59164364,23.59164364,12.59164364,894,-3,-13,-125,20,42,743.4780769,-6.47807689,-20.47807689,737,723,1,4
746,-22,-33,-48,-11,-14,-15,2,-13,837,-9,-52,-96,5,29,746,-32,-33,714,713,1,6
746,7,21,64,-7,-12,-13,-9,-21,919,1,5,58,-22,-58,746,3,-6,749,740,1,12
746,15,33,53,-3,2,15,9,-6,940,40,50,112,37,38,746,47,85,793,831,1,6
746.8864332,-4.11356675,-18.11356675,-75.11356675,9.88643325,16.88643325,25.88643325,18.88643325,15.88643325,897,-10,-35,-139,36,63,746.8864332,-6.29404744,-16.88643325,740.5923858,730,1,4
747,-2,-2,8,-2,-5,-16,-13,-39,896,-14,-21,-18,-32,8,747,-20,-20,727,727,1,12
749,0,3,24,-3,-7,-19,-6,-42,910,-7,-9,6,-11,8,749,-9,-24,740,725,1,12
749,3,10,43,-4,-11,-21,-9,-15,917,-2,-1,29,-68,-44,749,-2,-22,747,727,1,12
751,-14,-35,-101,7,22,4,2,17,907,-25,-84,-168,27,39,751,-7.52192311,-14,743.4780769,737,1,4
751,22,35,60,9,12,6,-8,14,963,29,62,105,23,34,751,43,44,794,795,1,21
754,-17,-33,-68,-1,-3,4,-5,-14,869,-8,-22,-71,-36,-13,754,-19,-33,735,721,1,2
755,-13,-18,-32,-8,-5,-17,-15,-51,860,-19,-56,-84,-20,-20,755,-33,-48,722,707,1,6
755,-10,-24,-75,4,13,9,-9,15,911,-6,-17,-100,29,24,755,-23,-59,732,696,1,22
756,78,120,182,36,47,44,70,69,1224,283,420,564,281,260,756,377,791,1133,1547,1,4
757,-11,-21,-21,-1,-8,-12,-10,3,888,-29,-44,-66,-31,-51,757,-41,-57,716,700,1,21
763,38,65,78,11,30,34,41,17,949,1,35,136,-8,-28,763,29,34,792,797,1,6
764,18,33,64,3,0,11,7,9,974,34,74,131,34,32,764,53,77,817,841,1,6
765,-21,-57,-105,15,9,3,-12,21,932,-59,-87,-176,-16,-19,765,-18.11356675,-24.40761419,746.8864332,740.5923858,1,4
765,-14,-37,-84,9,14,2,0,9,917,-11,-26,-117,20,6,765,-18,-53,747,712,1,22
768,-11,-19,-33,-3,-4,-6,16,5,846,-43,-67,-98,-30,-16,768,-46,-55,722,713,1,6
768,-10,-13,-9,-7,-13,-3,-9,10,917,-15,-33,-33,-7,-36,768,-29,-65,739,703,1,21
768,-5,-13,-15,3,1,2,-8,-32,879,-37,-44,-69,-71,-34,768,-33,-54,735,714,1,6
770,-12,-16,10,-8,-20,-23,-17,-19,879,-24,-37,-44,-46,-64,770,-32,-70,738,700,1,7
770,71,145,261,-3,-9,58,73,50.4,1017,39,142,413,25,6,770,97,116,867,886,1,2
771,-16,-30,-72,-2,5,-3,-21,-12,877,-14,-39,-98,-17,-18,771,-29,-43,742,728,1,2
773,-8,-14,-17,-2,-12,-1,-17,-16,916,-7,-8,-7,-75,-5,773,-18,-51,755,722,1,6
776,-14,-25,-19,-3,-12,-10,1,7,850,-46,-74,-104,-7,-35,776,-54,-91,722,685,1,3
777,-7,-10,-15,-4,-3,-6,13,-15,954,4,-1,-11,-7,-25,777,4,-9,781,768,1,21
778,-3,0,-6,-6,-4,0,-1,2,932,-18,-27,-23,15,-3,778,-21,-62,757,716,1,21
778,1,-6,-13,8,4,2,15,-4,959,5,9,-5,-13,-3,778,0,-21,778,757,1,21
779,-8,-15,-27,-1,-1,-1,6,10,889,-24,-39,-62,-11,1,779,-33,-65,746,714,1,6
781,-6,-2,-16,-10,1,-6,-26,-11,923,-1,-21,-30,-29,-2,781,-13,-46,768,735,1,6
781,3,4,-6,2,10,7,9,-11,950,-9,-4,-9,14,-6,781,-13,-42,768,739,1,21
782,-4,4,33,-12,-22,-9,-10,-8,903,-13,-31,5,-23,-57,782,-24.44639633,-69,757.5536037,713,1,7
783,-7,-14,-12,0,-7,-10,-34,-7,944,-4,21,-11,-12,-13,783,-2,-15,781,768,1,6
783,20,58,93,-18,-7,15,22,5,953,4,5,135,3,-37,783,12,14,795,797,1,6
786,-36,-66,-108,-6,-18,-9,-20,2,991,-28,-45,-143,1,12,786,-35,-42.52192311,751,743.4780769,1,4
786,8,26,42,-10,-3,8,-6,3,916,-18,-31,30,-26,-35,786,-16,-48,770,738,1,7
787,-14,-35,-69,7,7,-2,-21,-12,891,-25,-39,-105,-21,-35,787,-33,-52,754,735,1,2
787,-7,-14,-26,0,-2,7,5,12,913,-15,-20,-46,6,4,787,-19,-65,768,722,1,6
787,-4,-5,-8,-3,-3,2,-18,-6,955,-4,-9,-12,-26,-26,787,-10,-6,777,781,1,21
787,4,-3,-10,11,11,2,-34,0,924,-20,-24,-30,-25,-21,787,-14,-32,773,755,1,6
790,-7,-7,-2,-7,-9,-16,-15,-5,948,25,-5,-5,18,-3,790,-3,-17,787,773,1,6
791,-1,-2,-10,0,1,13,-6,2,959,-5,-6,-6,-26,-13,791,-7,-13,784,778,1,21
792,9,29,94,-11,-29,1,11,0,955,2,6,109,1,-24,792,5,-2,797,790,1,6
793,29,47,80,11,14,16,18,27,984,10,44,117,-4,-3,793,38,63,831,856,1,6
794,-7,-12,-33,-2,0,17,2,15,928,-5,-16,-34,20,19,794,-15,-48,779,746,1,6
794,17,43,78,-9,-5,7,-32,14,968,-3,5,89,-30,-35,794,1,19,795,813,1,21
795,-6,-20,-45,8,14,-20,-8,-32,966,-1,1,-63,-9,-13,795,-3,-8,792,787,1,21
795,3,12,70,-6,-17,-24,3,1,954,-1,1,40,1,-21,795,2,-12,797,783,1,6
797,0,2,14,-2,-3,-20,-5,2,923,-30,-31,-26,-31,-63,797,-14,-16,783,781,1,6
797,2,-1,20,5,-2,-24,-13,-43,996,22,43,33,-28,31,797,24,43,821,840,1,21
797,2,5,34,-1,-7,-36,-2,5,953,-1,-2,5,2,-30,797,-7,-10,790,787,1,6
801,-14,-34,-25,6,-9,-19,-11,-36,967,2,-6,-44,-27,-48,801,-8,-10,793,791,1,21
801,-5,-12,-50,2,9,22,11,20,933,-11,-18,-43,5,19,801,-14,-33,787,768,1,6
801,-2,6,-7,-10,2,13,25,19,924,-23,-39,-23,-2,4,801,-25,-79,776,722,1,3
803,8,4,-20,12,17,30,33,24,947,-16,-7,-3,12,10,803,-13,-55,790,748,1,3
806,-7,-21,-72,7,17,7,11,19,944,-7,-15,-77,18,22,806,-12,-27,794,779,1,6
813,-14,-38,-79,10,13,-2,5,9,951,-8,-11,-97,30,13,813,-12,-26,801,787,1,6
817,24,53,86,-5,6,6,21,21,994,10,20,104,-3,-6,817,24,51,841,868,1,6
822,-30,-48,-99,-12,-6,-7,-10,-1,1019,-17,-56,-132,-3,51,822,-57,-75.11356675,765,746.8864332,1,4
826,5,13,31,-3,-11,8,-17,-11,1029,18,29,76,5,8,826,9,-25,835,801,1,21
827,-24,-51,-77,3,-10,-15,-2,-5,959,-3,-17,-103,24,39,827,-21,-33,806,794,1,6
830,-19,-35,-56,-3,-5,-18,6,11,973,-38,-61,-107,-2,8,830,-51,-75,779,755,1,22
831,14,38,85,-10,-15,-1,14,8,1009,15,25,109,-2,-13,831,25,45,856,876,1,6
