x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
520,16,35,118,-3,-17,-43,22,33,640,-9,-12,47,14,-10,520,-3.363136915,-5.603434116,516.6368631,514.3965659,3,16
521,-6,-13,-25,1,-1,0,-3,-47,639,-5,-10,-27,-17,-5,521,-9.071809493,-11.6510482,511.9281905,509.3489518,3,17
526,-2,7,50,-11,-21,-7,6,0,640,-10,-18,11,-13,37,526,-8.714078985,-36.94403163,517.285921,489.0559684,3,16
527,-7,-12,-25,-2,0,0,-12,-28,644,-5,-11,-29,-31,19,527,-11.67591403,-15.91940246,515.324086,511.0805975,3,17
528,9,28,57,-10,-15,9,8,0,650,-8,-14,49,-13,14,528,-2.339209691,-22.17544268,525.6607903,505.8245573,3,16
533,41,62,70,20,36,43,37,38,706,12,38,123,5,16,533,41.91484682,50.86432136,574.9148468,583.8643214,3,17
534,-5,-12,-25,2,1,2,-19,-10,649,-6,-11,-32,-72,18,534,-8.842617852,-16.65242438,525.1573821,517.3475756,3,17
538,-10,-13,-27,-7,-6,6,-8,-8,646,-23,-45,-56,-21,-25,538,-31.67027571,-80.67525048,506.3297243,457.3247495,3,11
539,-7,-13,-27,-1,0,-2,-29,-10,655,-5,-11,-34,-16,-11,539,-12.18041608,-18.44412218,526.8195839,520.5558778,3,17
546,-6,-13,-25,1,1,-3,-47,-4,660,-6,-13,-36,-14,-11,546,-12.33037335,-20.8275243,533.6696267,525.1724757,3,17
548,-3,-7,-33,1,7,13,-1,0,669,-22,-29,-43,-21,-33,548,-21.51149859,-61.17647498,526.4885014,486.823525,3,11
552,-7,-14,-22,0,-2,-12,-28,-2,666,-7,-15,-38,-11,-14,552,-13.46585456,-25.30581128,538.5341454,526.6941887,3,17
555,22,63,89,-19,1,19,35,17,709,3,15,118,-2,7,555,16.97084669,8.975617177,571.9708467,563.9756172,3,17
559,-7,-12,-10,-2,-4,-21,-12,8,673,-8,-16,-36,-9,-13,559,-13.76639796,-36.69211994,545.233602,522.3078801,3,17
565,-16,-32,-40,0,-10,-14,-14,-14,700,-2,-12,-55,2,0,565,-14.33041942,-21.78322586,550.6695806,543.2167741,3,11
566,-5,-8,11,-2,-10,-27,-8,8,681,-8,-15,-25,-8,-12,566,-10.99171437,-26.12293772,555.0082856,539.8770623,3,17
569,14,36,98,-8,-27,9,29,10,704,-5,-2,102,-11,-1,569,10.07643604,-9.309828632,579.076436,559.6901714,3,17
571,-3,2,38,-8,-17,-44,-1,-7,689,-7,-15,-5,17,-10,571,-10.57337119,-25.53593175,560.4266288,545.4640683,3,17
574,5,19,82,-9,-17,-16,10,0,696,-8,-13,28,16,-8,574,-4.549588245,-23.06528284,569.4504118,550.9347172,3,17
581,-16,-22,-26,-10,-14,-14,-13,-18,702,-10,-35,-56,-7,-7,581,-27.40666954,-51.33478921,553.5933305,529.6652108,3,11
589,35,89,162,-19,-5,-1,29,17,751,2,16,154,-1,-9,589,16.69550054,28.69998507,605.6955005,617.6999851,3,11
601,-1,-4,12,2,-4,-36,-37,-7,761,16,15,12,4,0,601,11.20584197,18.90654163,612.205842,619.9065416,3,11
602,-3,0,48,-6,-16,-57,-16,-7,745,-1,-3,10,-11,-22,602,-4.361833599,-11.57922542,597.6381664,590.4207746,3,11
604,3,2,2,4,6,-10,-30,-5,772,11,27,21,5,3,604,15.04342986,12.98105312,619.0434299,616.9810531,3,11
611,-2,-5,-10,1,0,0,-5,-15,760,-2,-3,-9,1,-44,611,-1.897850666,-7.886643952,609.1021493,603.113356,3,11
614,10,13,9,7,11,7,-30,0,774,2,13,26,-40,-1,614,8.513778449,5.155551268,622.5137784,619.1555513,3,11
616,-2,-5,-5,1,0,-9,1,-56,763,0,-2,-11,-14,-12,616,-1.804862466,5.121177539,614.1951375,621.1211775,3,11
621,-2,0,17,-4,-9,-5,-15,-35,765,-4,-7,4,-63,-14,621,-5.851499697,-2.557863014,615.1485003,618.442137,3,11
621,7,17,19,-3,4,10,-47,-6,772,-2,0,26,-28,-5,621,0.9942248435,1.791373401,621.9942248,622.7913734,3,11
623,2,9,22,-5,-8,3,-33,-34,769,-3,-5,24,-36,-7,623,-3.871534797,3.20462829,619.1284652,626.2046283,3,11
