x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
487,-2,-5,-10,1,1,1,1,1,610,-3,-5,-14,0,2,487,-3.034239513,-7.859033388,483.9657605,479.1409666,2,13
487,-1,-1,-4,-1,0,0,3,3,580,-1,-2,-6,3,8,487,-2.497249131,-0.0384115755,484.5027509,486.9615884,2,5
487,1,1,1,1,0,2,3,5,589,3,7,9,6,8,487,4.650314085,22.03164339,491.6503141,509.0316434,2,5
488,-1,-3,-7,1,0,4,3,4,582,-2,-3,-10,3,10,488,-2.542449779,-0.4390868074,485.4575502,487.5609132,2,5
488,0,-1,-4,1,2,3,4,5,581,-1,-3,-6,3,10,488,-1.81086217,0.437025881,486.1891378,488.4370259,2,5
488,0,0,-3,0,1,4,-9,11,617,-1,-2,-3,-24,-2,488,-0.2664068485,-2.74403406,487.7335932,485.2559659,2,13
489,-2,-6,-11,2,1,-3,1,-3,620,0,0,-9,7,-2,489,0.5022065088,-2.595493662,489.5022065,486.4045063,2,13
489,-2,-3,-11,-1,1,2,3,5,584,-1,-2,-11,4,7,489,-3.415614827,-1.666820353,485.5843852,487.3331796,2,5
490,-11,-22,-29,0,-4,-18,-15,-14,612,-11,-23,-59,-16,2,490,-18.1835481,-37.06756159,471.8164519,452.9324384,2,18
490,-2,-6,-13,2,1,2,6,-2,613,-2,-5,-15,11,2,490,-2.301696952,-2.716785978,487.698303,487.283214,2,13
490,3,4,5,2,3,4,4,8,595,6,9,15,11,10,490,7.395900438,28.15579725,497.3959004,518.1557973,2,5
490,18,34,20,2,21,24,17,17,633,-1,7,50,0,-1,490,10.37144644,9.12420189,500.3714464,499.1242019,2,13
491,-4,-7,-8,-1,-2,-13,7,-5,620,0,-2,-13,-1,0,491,-0.8296364671,-5.182802123,490.1703635,485.8171979,2,13
491,-1,-4,-13,2,4,3,3,4,585,-1,-2,-15,6,-11,491,-2.653693669,-0.5822775166,488.3463063,490.4177225,2,5
492,-4,-7,-15,-1,0,0,7,-11,615,-3,-6,-17,7,0,492,-4.867328727,-5.900755923,487.1326713,486.0992441,2,13
492,-3,-8,-16,2,1,1,2,4,586,-1,-6,-18,5,-22,492,-4.88634246,-4.095532781,487.1136575,487.9044672,2,5
492,-3,-5,-11,-1,0,0,1,0,615,-3,-6,-15,-1,1,492,-4.606246441,-8.980280366,487.3937536,483.0197196,2,13
492,18,28,41,8,14,13,20,47,672,6,20,63,16,11,492,24.15634681,12.69563271,516.1563468,504.6956327,2,18
494,4,7,8,1,3,3,4,7,603,8,14,21,9,12,494,10.61086947,32.30091714,504.6108695,526.3009171,2,5
495,-5,-9,-17,-1,-1,-1,0,3,587,-5,-8,-22,1,-9,495,-8.886437592,-13.58623822,486.1135624,481.4137618,2,5
495,-3,-5,5,-1,-4,-21,3,-4,620,-2,-6,-14,-3,-2,495,-2.832071123,-4.113247006,492.1679289,490.886753,2,13
495,-2,-5,-11,1,1,1,1,2,618,-3,-6,-15,1,1,495,-3.565348811,-8.313156282,491.4346512,486.6868437,2,13
496,-3,-7,-15,1,1,2,6,-10,618,-3,-6,-17,-1,1,496,-3.513320895,-4.797544017,492.4866791,491.202456,2,13
496,79,155,266,3,5,59,91,78,654,2,35,241,26,13,496,31.76352642,82.9611608,527.7635264,578.9611608,2,18
497,-3,-6,-12,0,0,0,0,1,621,-3,-5,-15,0,1,497,-3.952284294,-8.291488731,493.0477157,488.7085113,2,13
498,4,8,12,0,1,4,5,5,607,4,12,25,5,9,498,8.66487065,26.67146326,506.6648707,524.6714633,2,5
499,-4,-8,-17,0,0,2,3,-3,621,-3,-7,-19,-17,2,499,-4.327337127,-6.809081148,494.6726629,492.1909189,2,13
499,9,27,40,-9,-7,20,8,9,629,-4,-5,50,-5,-4,499,1.109172009,-6.963181548,500.109172,492.0368185,2,13
500,-4,-8,-16,0,0,1,3,3,592,-3,-8,-22,6,2,500,-7.371759374,-11.91288739,492.6282406,488.0871126,2,5
500,-3,-6,-12,0,0,-1,0,1,624,-2,-6,-15,2,3,500,-4.070023392,-7.99281357,495.9299766,492.0071864,2,13
500,1,10,44,-8,-17,4,0,1,626,-3,-7,24,-4,-2,500,-1.850273599,-9.005706791,498.1497264,490.9942932,2,13
501,-11,-18,-11,-4,-11,-31,-20,-13,623,-12,-26,-49,-16,23,501,-18.76414528,-38.26536177,482.2358547,462.7346382,2,18
501,19,34,49,4,8,20,20,21,675,35,53,93,40,35,501,48.49316957,116.2307855,549.4931696,617.2307855,2,13
503,-4,-8,-19,0,1,4,-4,0,624,-4,-8,-21,-14,-2,503,-6.457876002,-10.57807993,496.542124,492.4219201,2,13
503,-3,-6,-11,0,0,1,0,0,626,-4,-7,-16,0,0,503,-5.113179504,-11.63520263,497.8868205,491.3647974,2,13
504,-36,-50,-65,-22,-28,-31,-25,-30,592,-13,-48,-117,-12,-12,504,-54.77952571,-63.7199495,449.2204743,440.2800505,2,18
504,-4,-8,-17,0,0,0,1,-1,595,-5,-9,-23,6,30,504,-8.462811917,-15.19804985,495.5371881,488.8019502,2,5
505,13,35,101,-9,-23,5,13,10,614,8,18,79,8,9,505,16.78023329,18.17662233,521.7802333,523.1766223,2,1
506,-3,-6,-12,0,-1,0,1,1,630,-3,-6,-14,2,1,506,-4.169293294,-9.436570873,501.8307067,496.5634291,2,13
506,8,12,19,4,4,7,9,10,611,4,8,25,5,9,506,10.15338766,30.81220895,516.1533877,536.812209,2,5
507,-4,-9,-23,1,2,7,-11,1,628,-4,-7,-24,-1,-1,507,-7.131147535,-9.525627426,499.8688525,497.4743726,2,13
509,-3,-5,-12,-1,1,0,1,1,633,-3,-6,-14,0,2,509,-4.830430075,-9.853852964,504.1695699,499.146147,2,13
511,5,13,21,-3,1,2,6,6,618,7,11,29,9,11,511,8.711025372,31.92446735,519.7110254,542.9244673,2,5
512,-7,-7,20,-7,-14,-25,-12,-5,635,-14,-27,-31,-18,38,512,-15.98736358,-43.97616197,496.0126364,468.023838,2,18
512,20,38,52,2,10,11,18,37,671,-1,5,60,5,8,512,13.21765929,4.576542378,525.2176593,516.5765424,2,18
514,9,22,80,-4,-13,-21,9,8,618,4,12,51,5,4,514,10.94491049,13.0911897,524.9449105,527.0911897,2,1
515,4,9,21,-1,-4,0,3,4,625,7,14,30,8,12,515,10.59598059,31.96507834,525.5959806,546.9650783,2,5
516,-9,-20,-16,2,-7,-45,-46,-1,706,68,81,52,60,69,516,41.25675859,156.5531397,557.2567586,672.5531397,2,18
519,0,7,45,-7,-20,-10,-4,7,649,-13,-22,-3,-17,-5,519,-10.82437973,-40.82530479,508.1756203,478.1746952,2,18
519,7,27,55,-13,-11,3,4,19,662,-9,-10,50,-10,0,519,-3.859744523,-29.26095285,515.1402555,489.7390472,2,18
520,5,9,22,1,0,1,5,6,633,8,15,30,9,11,520,12.312262,32.73445424,532.312262,552.7344542,2,5
520,6,15,50,-3,-7,-30,6,6,622,4,8,38,5,2,520,7.395260171,17.72006984,527.3952602,537.7200698,2,1
521,-4,-9,-21,1,1,1,-1,5,614,-4,-8,-25,-25,1,521,-6.701693822,-12.91842636,514.2983062,508.0815736,2,5
521,40.0404,68,106,12.0808,20.0404,25.0404,40.0404,41.0404,786,75,156,260,67,75,521,144.4461879,176.9610779,665.4461879,697.9610779,2,5
524,4,10,32,-2,-5,-18,2,5,623,1,5,27,0,-3,524,3.979008877,23.64098104,527.9790089,547.640981,2,1
525,-11,-13,29,-9,-17,-90,-31,1,638,13,1,-14,14,13,525,-6.498257912,56.22952936,518.5017421,581.2295294,2,18
525,-5,-10,-22,0,2,2,-12,12,618,-4,-9,-27,-8,5,525,-9.662465687,-14.86572724,515.3375343,510.1342728,2,5
526,2,6,21,-2,-4,-11,-6,2,622,-1,0,16,-3,-3,526,-0.4633943398,29.49263571,525.5366057,555.4926357,2,1
526,6,11,20,1,2,-2,5,7,641,8,16,34,8,13,526,13.18737375,33.22099801,539.1873738,559.220998,2,5
527,0,1,7,-1,-2,-6,-36,0,621,-1,-1,3,-14,-1,527,-3.426463583,14.70519107,523.5735364,541.7051911,2,1
529,-3,-7,-12,1,-1,2,2,2,654,0,-3,-11,6,5,529,-1.853885858,1.497758542,527.1461141,530.4977585,2,13
529,0,-3,-9,3,4,3,4,5,656,2,2,-6,6,7,529,2.648376348,11.68120488,531.6483763,540.6812049,2,13
529,28,47,73,9,13,24,31,32,736,61,96,142,63,63,529,86.47795487,167.7877279,615.4779549,696.7877279,2,13
530,-5,-12,-24,2,0,3,-16,6,622,-5,-10,-29,0,3,530,-10.13763111,-15.82971866,519.8623689,514.1702813,2,5
530,1,1,-6,1,4,3,5,5,662,6,8,4,11,12,530,6.432885047,24.10049961,536.432885,554.1004996,2,13
532,-4,-6,-14,-2,-1,0,1,1,654,-3,-4,-16,2,0,532,-5.124647363,-7.466738856,526.8753526,524.5332611,2,13
532,36,115,265,-43,-40,-1,44,38,649,-5,-3,153,11,-2,532,5.722955597,32.02088991,537.7229556,564.0208899,2,18
533,17,8,-5,26,28,11,-57,19,780,74,142,131,37,95,533,96.34254661,185.8576387,629.3425466,718.8576387,2,18
534,8,14,23,2,3,3,5,9,652,11,19,41,9,12,534,16.61609909,37.83260056,550.6160991,571.8326006,2,5
