x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
317,-6,-22,-82,10,22,11,-6,-11,443,12,17,-11,7,-19,317,8.489787694,33.57497259,325.4897877,350.5749726,3,16
317,0,-6,-50,6,16,32,1,-8,467,24,36,36,23,12,317,23.52927341,56.20984095,340.5292734,373.209841,3,16
318,-1,-4,-15,2,4,4,-1,-10,423,9,18,16,9,-44,318,10.55688472,25.19617735,328.5568847,343.1961773,1,6
319,14,26,41,2,2,9,13,14,459,27,85,107,27,27,319,61.16175716,85.61519435,380.1617572,404.6151944,1,3
320,14,26,48,2,1,9,19,8,425,15,31,61,30,17,320,28.19553652,51.37750177,348.1955365,371.3775018,1,4
321,3,2,-6,4,6,9,4,-1,432,9,18,28,9,-23,321,15.30972794,25.53422425,336.3097279,346.5342243,1,6
323,6,6,-16,6,12,34,8,1,553,86,110,128,86,77,323,74.69363964,156.5424075,397.6936396,479.5424075,3,16
327,6,9,5,3,7,11,7,5,438,6,15,34,6,-3,327,14.28866407,20.23626686,341.2886641,347.2362669,1,6
335,8,14,16,2,5,11,12,8,439,1,7,34,2,-7,335,10.42273323,8.709923997,345.4227332,343.709924,1,6
338,18,31,57,5,2,5,14,17,487,3,6,51,-1,14,338,18.75038514,48.44747368,356.7503851,386.4474737,3,11
341,74,111,144,37,54,76,83,77,619,79,123,304,80,91,341,176.9258099,217.1536705,517.9258099,558.1536705,2,18
342,7,15,24,-1,1,8,12,7,440,1,2,26,2,-10,342,5.983191691,2.594164479,347.9831917,344.5941645,1,6
343,20,26,20,14,20,36,23,17,593,40,126,167,43,34,343,109.2064512,128.6659133,452.2064512,471.6659133,3,16
345,-2,-6,-23,2,5,4,-3,-3,445,19,37,32,19,16,345,19.69145653,69.04213938,364.6914565,414.0421394,1,10
346,4,11,25,-3,-4,1,10,5,440,0,1,17,8,-4,346,2.742434193,-0.9071273647,348.7424342,345.0928726,1,6
346,8,26,55,-10,-5,-2,4,6,491,4,7,34,2,10,346,8.080151064,37.91001954,354.0801511,383.9100195,3,11
347,-4,-11,-27,3,6,-2,-6,-5,426,18,17,3,19,10,347,6.671911115,56.35364016,353.6719111,403.3536402,1,10
348,2,6,21,-2,-5,-4,7,3,442,2,2,10,9,1,348,2.967410835,3.295108989,350.9674108,351.295109,1,6
349,1,3,14,-1,-3,-7,4,5,442,0,2,4,9,0,349,1.345054994,1.140498574,350.345055,350.1404986,1,6
349,4,2,-9,6,8,14,5,3,453,8,27,42,8,5,349,20.71107686,51.71124033,369.7110769,400.7112403,1,10
350,1,2,8,0,-1,-6,2,6,443,1,1,4,4,1,350,1.433933445,1.832347153,351.4339334,351.8323472,1,6
351,-7,-17,-25,3,-1,-4,-7,-9,408,-1,-3,-33,-1,-31,351,-6.783652604,18.4667621,344.2163474,369.4667621,1,10
351,1,2,5,0,0,-3,-2,7,444,1,2,4,1,1,351,1.199707595,1.587214388,352.1997076,352.5872144,1,6
351,48,97,136,-1,14,45,57,45,480,3,7,137,19,17,351,25.27210611,18.82846624,376.2721061,369.8284662,1,15
352,1,2,4,0,0,-1,-5,6,444,0,1,4,-1,1,352,0.1952615458,-1.060077918,352.1952615,350.9399221,1,6
354,0,0,3,0,-2,-1,-4,-3,445,0,1,2,-9,7,354,1.047935153,8.076299843,355.0479352,362.0762998,1,6
354,0,2,4,-2,-1,-1,-7,1,445,1,1,3,-8,9,354,-0.3566915291,1.32384378,353.6433085,355.3238438,1,6
354,2,3,5,1,1,1,-6,5,444,0,0,2,-9,1,354,0.759349684,1.930766999,354.7593497,355.930767,1,6
355,1,1,3,1,1,0,-1,-5,445,0,0,1,-6,9,355,1.270986514,12.04125656,356.2709865,367.0412566,1,6
356,1,2,2,0,1,-1,0,-7,445,0,0,1,-1,3,356,0.4319899154,7.33241471,356.4319899,363.3324147,1,6
357,-3,-8,-13,2,1,-3,-14,-1,496,3,3,-12,0,2,357,1.425089218,15.60069323,358.4250892,372.6006932,1,12
357,1,2,3,0,0,1,0,-6,443,-2,-2,-1,-3,-2,357,-0.9391528626,6.549842404,356.0608471,363.5498424,1,6
358,-10,-16,-21,-4,-8,-9,-11,-13,409,-2,-4,-35,-2,-51,358,-13.55810128,8.406186839,344.4418987,366.4061868,1,10
360,-6,-24,-69,12,20,-2,-9,-50,626,95,127,111,82,150,360,86.59841749,183.4388878,446.5984175,543.4388878,1,21
360,-5,-9,-10,-1,-4,-6,-14,-4,493,0,-1,-16,2,1,360,-3.051829329,4.511488236,356.9481707,364.5114882,1,12
360,6,10,22,2,2,-12,-7,2,523,12,22,39,-12,11,360,21.86963574,73.20913033,381.8696357,433.2091303,3,11
362,3,5,2,1,3,8,2,-6,517,9,18,24,5,9,362,15.64578632,47.40311948,377.6457863,409.4031195,1,12
363,6,7,9,5,5,6,5,2,448,5,3,3,5,4,363,7.153184166,24.31698311,370.1531842,387.3169831,1,6
365,-4,-5,-4,-3,-4,-7,-5,-5,493,-1,-7,-17,1,-1,365,-5.312883312,-10.59276016,359.6871167,354.4072398,1,12
365,-1,-2,-3,0,0,0,0,3,457,0,-1,-3,3,3,365,-1.200271285,8.147535828,363.7997287,373.1475358,2,5
365,0,-1,-3,1,1,0,2,3,459,2,2,0,4,6,365,1.898772802,12.38281593,366.8987728,377.3828159,2,5
365,14,62,145,-34,-35,9,18,17,494,14,17,70,24,24,365,14.15713484,7.93829516,379.1571348,372.9382952,1,15
367,2,2,0,2,3,3,3,5,464,5,7,6,6,7,367,6.19845091,19.37365242,373.1984509,386.3736524,2,5
368,-6,-8,-12,-4,-3,-7,-7,-12,411,-2,-12,-36,-3,-37,368,-15.47823847,7.270388815,352.5217615,375.2703888,1,10
368,5,11,13,-1,4,4,4,3,459,11,16,14,9,2,368,10.91089428,33.47765308,378.9108943,401.4776531,1,6
368,6,9,11,3,4,9,6,-5,525,8,17,32,7,10,368,18.09918771,56.44234503,386.0991877,424.442345,1,12
368,8,14,22,2,4,0,-2,4,529,6,18,42,-5,4,368,17.71782025,64.411342,385.7178203,432.411342,3,11
369,-1,-1,3,-1,-2,-8,0,-3,494,-6,-14,-16,-4,-7,369,-6.651003207,-21.51594566,362.3489968,347.4840543,1,12
370,3,5,4,1,3,4,4,6,464,0,5,6,2,4,370,3.937638723,10.93389804,373.9376387,380.933898,2,5
370,21,25,19,17,23,28,24,21,456,3,11,47,4,0,370,22.38869707,47.63874451,392.3886971,417.6387445,1,10
373,8,22,119,-6,-40,-26,7,16,505,11,25,43,10,14,373,19.9355146,33.8074059,392.9355146,406.8074059,1,15
374,4,7,9,1,2,5,5,5,462,-2,-2,5,0,2,374,1.027902947,4.172879757,375.0279029,378.1728798,2,5
375,7,12,19,2,1,6,5,6,478,19,30,33,19,10,375,22.64254871,50.18852967,397.6425487,425.1885297,1,6
375,7,13,18,1,4,7,8,0,550,25,33,54,25,27,375,30.5358879,78.23424024,405.5358879,453.2342402,1,12
375,34,56,82,12,20,22,31,34,475,6,16,114,5,7,375,28.42311414,43.14283369,403.4231141,418.1428337,1,3
377,-1,-1,7,-1,-5,-4,0,0,474,8,15,10,9,11,377,8.266498671,34.61667671,385.2664987,411.6166767,2,5
378,0,4,11,-4,-4,-2,1,1,466,7,4,7,6,9,378,2.050261046,20.97869647,380.050261,398.9786965,2,5
