time_value,observed_m3s,simulated_m3s
65155980,6434.47509765625,2942.1183759106198
65156040,6921.39990234375,3243.774715272877
65156100,7382.22509765625,3586.0874168349933
65156160,7848.89990234375,3981.9032242916505
65156220,8315.375,4433.011147383276
65156280,8661.125,4931.611372501037
65156340,8943.099609375,5464.13725798076
65156400,9155.5,6015.226627009534
65156460,9337.025390625,6572.596242215474
65156520,9548.75,7129.251981823647
65156580,9810.75,7679.95418805975
65156640,10101.0498046875,8218.914991255899
65156700,10418.5751953125,8740.928780673506
65156760,10703.650390625,9241.17348966566
65156820,10955.474609375,9712.91826603586
65156880,11137.775390625,10146.15841196303
65156940,11278.4248046875,10529.908279781754
65157000,11378.724609375,10855.055024337335
65157060,11434.9248046875,11113.62101812255
65157120,11434.9501953125,11298.956292783756
65157180,11370.224609375,11411.408112589388
65157240,11293.724609375,11459.34690914116
65157300,11186.849609375,11451.55946403442
65157360,11033.0,11393.578210131756
65157420,10884.775390625,11287.14083998946
65157480,10676.849609375,11126.277739082112
65157540,10476.7001953125,10901.466518159648
65157600,10242.9501953125,10616.08642877562
65157660,9992.525390625,10288.081467736494
65157720,9696.625,9936.715365960079
65157780,9435.474609375,9578.560094299166
65157840,9141.125,9223.938642034625
65157900,8817.650390625,8878.016926298837
65157960,8483.724609375,8543.134431432452
65158020,8149.22509765625,8220.17977816917
65158080,7784.77490234375,7909.405697782572
65158140,7435.2001953125,7610.59725817279
65158200,7098.64990234375,7323.368688391678
65158260,6784.27490234375,7047.2909789063115
65158320,6488.2998046875,6781.934547051851
65158380,6200.97509765625,6526.881730205947
65158440,5928.35009765625,6281.729892266714
65158500,5661.0498046875,6046.091819811768
65158560,5410.72509765625,5819.595381822953
65158620,5177.0,5601.883007881229
65158680,4963.5498046875,5392.611135273277
65158740,4764.1748046875,5191.4496643648035
65158800,4578.4248046875,4998.081431884928
65158860,4416.97509765625,4812.201703989262
65158920,4265.47509765625,4633.517688981306
65158980,4110.27490234375,4461.748069086841
65159040,3950.22509765625,4296.622550575656
65159100,3798.800048828125,4137.881431521462
65159160,3662.10009765625,3985.2751865108858
65159220,3538.5,3838.5640676374805
65159280,3419.97509765625,3697.51772114232
65159340,3320.35009765625,3561.9148190876085
65159400,3241.550048828125,3431.542705473795
65159460,3160.89990234375,3306.1970562337992
65159520,3068.64990234375,3185.681552560137
65159580,2950.550048828125,3069.8075670421103
65159640,2839.85009765625,2958.393862110704
65159700,2751.77490234375,2851.2663003085377
65159760,2684.550048828125,2748.2575659211525
65159820,2641.175048828125,2649.206897524106
65159880,2594.550048828125,2553.959831017791
65159940,2552.824951171875,2462.367952738722
65160000,2507.800048828125,2374.2886622521173
65160060,2440.25,2289.5849444461437
65160120,2348.47509765625,2208.1251505630485
65160180,2254.425048828125,2129.782787816714
65160240,2191.22509765625,2054.436317259927
65160300,2157.125,1981.9689595778461
65160360,2140.675048828125,1912.2685084968384
65160420,2123.175048828125,1845.2271515100538
65160480,2102.47509765625,1780.7412976328076
65160540,2043.9749755859375,1718.711411912099
65160600,1968.8499755859375,1659.041856425403
65160660,1913.625,1601.640737514259
65160720,1874.6500244140625,1546.4197590081587
65160780,1856.800048828125,1493.0948882032776
65160840,1851.550048828125,1441.3146013071441
65160900,1840.0250244140625,1391.4300126967144
65160960,1826.5,1343.8690270332831
65161020,1807.7750244140625,1298.3100919970045
65161080,1788.074951171875,1254.5419648404757
65161140,1762.25,1213.099146440802
65161200,1739.625,1177.427323916444
65161260,1717.0999755859375,1152.247138253008
65161320,1692.625,1136.2929731541403
65161380,1668.25,1124.0959216491062
65161440,1647.0250244140625,1113.1987387424024
65161500,1625.875,1102.7580260951236
65161560,1602.800048828125,1092.514858199959
65161620,1567.949951171875,1082.394126593398
65161680,1537.199951171875,1072.37444047936
65161740,1506.699951171875,1062.4494175174784
65161800,1490.0999755859375,1052.616746358186
65161860,1469.8499755859375,1042.875199975656
65161920,1457.4749755859375,1033.2238396313949
65161980,1440.6500244140625,1023.6618064832614
65162040,1428.4000244140625,1014.1882677550484
65162100,1418.375,1004.8024029473718
65162160,1401.7249755859375,996.2618013966033
65162220,1388.425048828125,992.1402333868431
65162280,1379.5999755859375,999.200916382781
65162340,1378.5,1024.0950240428162
65162400,1385.0999755859375,1070.449197195345
65162460,1399.5250244140625,1138.8838343397063
65162520,1423.949951171875,1227.7583640015102
65162580,1448.5,1333.7731027590555
65162640,1484.4749755859375,1453.5014637044217
65162700,1544.199951171875,1584.244809779277
65162760,1628.925048828125,1723.994378394197
65162820,1677.375,1871.048216386428
65162880,1727.300048828125,2023.481852441935
65162940,1745.824951171875,2178.898967884897
65163000,1756.074951171875,2334.4815083051276
65163060,1761.199951171875,2486.78940593676
65163120,1774.625,2631.918838712443
65163180,1800.5,2766.3026367579014
65163240,1841.125,2887.1379209010215
65163300,1899.925048828125,2992.528902996961
65163360,1960.324951171875,3081.42598354252
65163420,2015.949951171875,3153.148290109061
65163480,2048.25,3206.865436577459
65163540,2063.35009765625,3241.125227282522
65163600,2072.02490234375,3253.2877764772265
65163660,2078.5,3241.050238925708
65163720,2069.875,3205.593781447066
65163780,2054.72509765625,3149.431185424173
65163840,2021.324951171875,3074.718189836443
65163900,1974.1500244140625,2986.187199556767
65163960,1962.425048828125,2889.306560161483
65164020,1979.5,2789.3965076772674
65164080,2014.875,2690.8360003905673
65164140,2072.050048828125,2595.367851092914
65164200,2123.175048828125,2503.186013771065
65164260,2148.324951171875,2414.949677427279
65164320,2150.52490234375,2329.081560161004
65164380,2133.02490234375,2242.703018028165
65164440,2110.10009765625,2158.2620915235334
65164500,2081.800048828125,2079.2724880868277
65164560,2054.72509765625,2004.3963467271465
65164620,2025.625,1933.7397782623564
65164680,1992.3499755859375,1867.0349795230757
65164740,1959.25,1800.889542271777
65164800,1922.074951171875,1731.2659971224425
65164860,1883.050048828125,1660.6085368008678
65164920,1847.375,1594.5198911851414
65164980,1811.9000244140625,1534.2613122119599
65165040,1772.550048828125,1479.8598845781053
65165100,1738.574951171875,1429.6173984319773
65165160,1703.824951171875,1382.081763230561
65165220,1669.2249755859375,1336.6993387668274
65165280,1646.0250244140625,1293.360100289888
65165340,1612.800048828125,1251.7760754993715
65165400,1584.8499755859375,1212.2225693086432
65165460,1542.175048828125,1177.6537250079969
