dataset,label,horizon_h,model,backend,fold_count,test_event_count,median_mae_cm,mean_mae_cm,worst_fold_mae_cm,median_rmse_cm,median_nse,median_bias_cm,median_peak_error_cm,worst_peak_error_cm,median_peak_lag_h,worst_peak_lag_h,completed_folds,event_rows,rank_by_mae_rmse,family
stz_4h,Santa Tereza · 4 h,4,LightGBM,lightgbm,13,13,19.99829716135282,22.018697348024244,40.1123316971952,29.56570633099583,0.9369466465746444,1.713781527033844,23.45783787106302,71.2498486229988,2.0,24.0,13,13,1,boosting
stz_4h,Santa Tereza · 4 h,4,XGBoost,xgboost,13,13,20.05670699991029,21.880993706109585,43.10327677726745,24.738460765439925,0.9518386305908434,2.541236366348705,16.696548461914062,84.23954772949219,1.0,12.0,13,13,2,boosting
stz_4h,Santa Tereza · 4 h,4,SVR,scikit-learn,13,13,20.11333856513968,23.833726838839365,56.413303385879,26.6927583166245,0.919119601181417,1.2500983293621224,16.771416197222834,97.39317871129924,1.0,7.0,13,13,3,kernel
stz_4h,Santa Tereza · 4 h,4,Random Forest,scikit-learn,13,13,20.28928330530458,21.426587790624605,41.62872178703381,26.50514957118856,0.9385644408681036,0.6644885566340752,14.152431288223738,72.27982586541748,1.0,12.0,13,13,4,árvores
stz_4h,Santa Tereza · 4 h,4,Extra Trees,scikit-learn,13,13,20.4123165265762,20.59956927953276,40.17256934846117,26.19120619692108,0.9446147124523232,0.7339404837079234,11.02149545560394,52.66704873617664,1.0,12.0,13,13,5,árvores
stz_4h,Santa Tereza · 4 h,4,CatBoost,catboost,13,13,20.99622883936385,22.18610088001449,39.51200815552117,26.684834525657628,0.9436015649490792,0.8602774104669134,15.689315612277255,50.66090222659477,1.0,7.0,13,13,6,boosting
stz_4h,Santa Tereza · 4 h,4,Elastic Net,scikit-learn,13,13,21.36542882090029,24.191541182409544,60.41226348876953,25.337037112250368,0.9431118314524508,1.2406929155875897,17.13580322265625,93.6837100982666,1.0,12.0,13,13,7,linear
stz_4h,Santa Tereza · 4 h,4,HistGradientBoosting,scikit-learn,13,13,22.11850426035971,23.63377677919237,40.06010443956388,29.50919187243373,0.9232759922499084,2.029255393627392,7.993077595678869,96.6400467936744,1.0,25.0,13,13,8,boosting
stz_4h,Santa Tereza · 4 h,4,Ridge,scikit-learn,13,13,22.21997343945777,24.738604239488705,58.70470805168152,27.23469883246365,0.9415425917294368,2.968303774965221,17.02444839477539,95.66439151763916,1.0,12.0,13,13,9,linear
stz_4h,Santa Tereza · 4 h,4,N-HiTS-lite experimental,pytorch-cpu,13,13,22.42052913287004,25.02911763366209,52.81955149678669,28.601015466216715,0.8963339537081271,-0.9299767358546068,19.26056852330646,81.55589951627405,1.0,12.0,13,13,10,temporal neural
stz_4h,Santa Tereza · 4 h,4,Transformer temporal,pytorch-cpu,13,13,23.904431276584308,28.040534635035424,61.45957735092868,29.785729727415653,0.8968687006697685,0.0613051026732352,30.91445255262761,91.75613876212606,1.0,22.0,13,13,11,temporal neural
stz_4h,Santa Tereza · 4 h,4,CNN-1D temporal,pytorch-cpu,13,13,24.153694070524548,26.30086080559824,46.65083813030355,32.339410734863,0.8838478407795882,0.6017427172634899,17.88196964411088,100.6150064807938,1.0,11.0,13,13,12,temporal neural
