dataset,label,horizon_h,protocol,lookback_h,fold_id,validation_event,test_event,train_event_count,train_rows,validation_rows,test_rows,train_end,test_start,seed,common_source_contract,model,backend,fit_seconds,n,mae_cm,rmse_cm,bias_cm,e95_cm,nse,r2,mape_pct,event_count,median_event_mae_cm,worst_event_mae_cm,median_peak_abs_error_cm,worst_peak_abs_error_cm,median_peak_lag_h,median_peak_lag_abs_h,worst_peak_lag_abs_h,warnings,n_train,epochs_run,best_epoch,best_validation_loss_scaled,n_validation,parameter_count,history_tail
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,GRU,pytorch-cpu,0.08716840005945414,67,12.837766975184186,18.03136156374874,0.860991848751933,43.10223052102766,0.9473062336018976,0.9473062336018976,2.4469182343948526,1,12.837766975184186,12.837766975184186,16.880242861727538,16.880242861727538,1.0,1.0,1.0,,1591.0,18.0,18.0,0.14732125401496887,244.0,4737.0,"[{'epoch': 14, 'train_loss': 0.3643611669540405, 'validation_loss': 0.1511513739824295}, {'epoch': 15, 'train_loss': 0.34909576177597046, 'validation_loss': 0.14963650703430176}, {'epoch': 16, 'train_loss': 0.3365078270435333, 'validation_loss': 0.14887511730194092}, {'epoch': 17, 'train_loss': 0.3259999454021454, 'validation_loss': 0.14826558530330658}, {'epoch': 18, 'train_loss': 0.31700435280799866, 'validation_loss': 0.14732125401496887}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,TCN,pytorch-cpu,0.08997170010115951,67,10.5366871330131,14.47116166700109,3.1263146981909533,30.486812641361254,0.9660602226734061,0.9660602226734061,2.072303280456519,1,10.5366871330131,10.5366871330131,4.929094414983638,4.929094414983638,1.0,1.0,1.0,,1591.0,18.0,18.0,0.10995615273714066,244.0,7713.0,"[{'epoch': 14, 'train_loss': 0.2659095227718353, 'validation_loss': 0.15592896938323975}, {'epoch': 15, 'train_loss': 0.2339438796043396, 'validation_loss': 0.136919766664505}, {'epoch': 16, 'train_loss': 0.2011413425207138, 'validation_loss': 0.12199518829584122}, {'epoch': 17, 'train_loss': 0.1773620843887329, 'validation_loss': 0.11356916278600693}, {'epoch': 18, 'train_loss': 0.16560019552707672, 'validation_loss': 0.10995615273714066}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,Seq2Seq · decoder 1 passo,pytorch-cpu,0.09324229997582734,67,12.59260939044626,17.142540226429464,4.3371803477409925,37.95621552408343,0.9523730739060549,0.9523730739060549,2.5119786464957223,1,12.59260939044626,12.59260939044626,6.4030890989529325,6.4030890989529325,1.0,1.0,1.0,,1591.0,18.0,18.0,0.2686310410499573,244.0,10785.0,"[{'epoch': 14, 'train_loss': 0.6871912479400635, 'validation_loss': 0.3392554223537445}, {'epoch': 15, 'train_loss': 0.6620294451713562, 'validation_loss': 0.32060062885284424}, {'epoch': 16, 'train_loss': 0.6370226740837097, 'validation_loss': 0.30248650908470154}, {'epoch': 17, 'train_loss': 0.6122982501983643, 'validation_loss': 0.2850962281227112}, {'epoch': 18, 'train_loss': 0.5880235433578491, 'validation_loss': 0.2686310410499573}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,Transformer temporal,pytorch-cpu,0.13630730006843805,67,8.22090851965213,10.13634319229131,3.646005380087601,19.99720916534556,0.9833480610281876,0.9833480610281876,1.5650083070028586,1,8.22090851965213,8.22090851965213,27.218789805998426,27.218789805998426,1.0,1.0,1.0,,1591.0,18.0,18.0,0.08177424967288971,244.0,9217.0,"[{'epoch': 14, 'train_loss': 0.38265731930732727, 'validation_loss': 0.10240219533443451}, {'epoch': 15, 'train_loss': 0.37179309129714966, 'validation_loss': 0.0965723842382431}, {'epoch': 16, 'train_loss': 0.3620051443576813, 'validation_loss': 0.09173610806465149}, {'epoch': 17, 'train_loss': 0.3509012460708618, 'validation_loss': 0.08679582923650742}, {'epoch': 18, 'train_loss': 0.33740371465682983, 'validation_loss': 0.08177424967288971}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,DLinear experimental,pytorch-cpu,0.018029200029559433,67,12.642303446397676,16.128873087197817,3.495105132524302,33.23010939167293,0.9578390636845464,0.9578390636845464,2.44771737302736,1,12.642303446397676,12.642303446397676,5.202982693829313,5.202982693829313,-3.0,3.0,3.0,,1591.0,18.0,18.0,0.1618974655866623,244.0,32.0,"[{'epoch': 14, 'train_loss': 0.32440614700317383, 'validation_loss': 0.1880454272031784}, {'epoch': 15, 'train_loss': 0.313513845205307, 'validation_loss': 0.18104766309261322}, {'epoch': 16, 'train_loss': 0.30318155884742737, 'validation_loss': 0.17436470091342926}, {'epoch': 17, 'train_loss': 0.2933875322341919, 'validation_loss': 0.16798509657382965}, {'epoch': 18, 'train_loss': 0.2841090261936188, 'validation_loss': 0.1618974655866623}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,NLinear experimental,pytorch-cpu,0.011984999990090728,67,19.061433054091708,23.991094133069673,4.316158323399226,46.07822400750982,0.9067170423426704,0.9067170423426704,3.71042105030834,1,19.061433054091708,19.061433054091708,8.413242290712446,8.413242290712446,2.0,2.0,2.0,,1591.0,18.0,18.0,0.5473261475563049,244.0,61.0,"[{'epoch': 14, 'train_loss': 1.019733190536499, 'validation_loss': 0.588874101638794}, {'epoch': 15, 'train_loss': 0.9996872544288635, 'validation_loss': 0.5768827199935913}, {'epoch': 16, 'train_loss': 0.9814247488975525, 'validation_loss': 0.5660092234611511}, {'epoch': 17, 'train_loss': 0.9648323655128479, 'validation_loss': 0.5561825037002563}, {'epoch': 18, 'train_loss': 0.949787437915802, 'validation_loss': 0.5473261475563049}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,TSMixer experimental,pytorch-cpu,0.05933109996840358,67,12.522609493600733,18.365718064563954,0.8422194475136415,37.25750208084959,0.9453339084716843,0.9453339084716843,2.5138970328113035,1,12.522609493600733,12.522609493600733,11.7501454065615,11.7501454065615,2.0,2.0,2.0,,1591.0,18.0,18.0,0.46482715010643005,244.0,1619.0,"[{'epoch': 14, 'train_loss': 0.7864410281181335, 'validation_loss': 0.5396273136138916}, {'epoch': 15, 'train_loss': 0.7667971849441528, 'validation_loss': 0.5192826986312866}, {'epoch': 16, 'train_loss': 0.7488752007484436, 'validation_loss': 0.5000094175338745}, {'epoch': 17, 'train_loss': 0.7326076030731201, 'validation_loss': 0.48185551166534424}, {'epoch': 18, 'train_loss': 0.7179381847381592, 'validation_loss': 0.46482715010643005}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,N-BEATS experimental,pytorch-cpu,0.03986000001896173,67,9.336400629686544,13.761579555063335,4.336987627574582,25.076047328800232,0.9693070403680561,0.9693070403680561,1.7707620472408363,1,9.336400629686544,9.336400629686544,10.766056696228588,10.766056696228588,1.0,1.0,1.0,,1591.0,18.0,17.0,0.06092091649770737,244.0,20158.0,"[{'epoch': 14, 'train_loss': 0.12650413811206818, 'validation_loss': 0.07938981801271439}, {'epoch': 15, 'train_loss': 0.11803124845027924, 'validation_loss': 0.06883006542921066}, {'epoch': 16, 'train_loss': 0.10407532006502151, 'validation_loss': 0.06151712313294411}, {'epoch': 17, 'train_loss': 0.09595096856355667, 'validation_loss': 0.06092091649770737}, {'epoch': 18, 'train_loss': 0.09743748605251312, 'validation_loss': 0.06265918910503387}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,N-HiTS-lite experimental,pytorch-cpu,0.03259239997714758,67,11.877484805868946,16.4652327359139,5.8313817893711,34.55541566060351,0.9560622366252987,0.9560622366252987,2.3122473230046228,1,11.877484805868946,11.877484805868946,17.306466834288017,17.306466834288017,1.0,1.0,1.0,,1591.0,18.0,18.0,0.15093868970870972,244.0,2353.0,"[{'epoch': 14, 'train_loss': 0.26931217312812805, 'validation_loss': 0.19111856818199158}, {'epoch': 15, 'train_loss': 0.2640964984893799, 'validation_loss': 0.18368269503116608}, {'epoch': 16, 'train_loss': 0.2541223466396332, 'validation_loss': 0.17392243444919586}, {'epoch': 17, 'train_loss': 0.24015389382839203, 'validation_loss': 0.16268561780452728}, {'epoch': 18, 'train_loss': 0.22364318370819092, 'validation_loss': 0.15093868970870972}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,PatchTST experimental,pytorch-cpu,0.11338530003558844,67,10.99104173978718,13.915173822609644,5.2636984796002935,26.091680378089766,0.9686180830000172,0.9686180830000172,2.142609679278013,1,10.99104173978718,10.99104173978718,24.501542324554634,24.501542324554634,3.0,3.0,3.0,,1591.0,18.0,18.0,0.1498967409133911,244.0,9089.0,"[{'epoch': 14, 'train_loss': 0.4180210828781128, 'validation_loss': 0.16968637704849243}, {'epoch': 15, 'train_loss': 0.4091934263706207, 'validation_loss': 0.16625064611434937}, {'epoch': 16, 'train_loss': 0.4012589752674103, 'validation_loss': 0.16223250329494476}, {'epoch': 17, 'train_loss': 0.39066410064697266, 'validation_loss': 0.15654076635837555}, {'epoch': 18, 'train_loss': 0.37594133615493774, 'validation_loss': 0.1498967409133911}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,12_to_13,12,13,10,1591,244,67,2024-10-15T12:00:00,2025-09-09T18:00:00,20260919,True,TFT-lite experimental,pytorch-cpu,0.15476269996725023,67,13.18434869776724,17.3194797130373,5.9764553039096535,37.36338376551174,0.9513848219328125,0.9513848219328125,2.6141095723331382,1,13.18434869776724,13.18434869776724,4.18242147551382,4.18242147551382,19.0,19.0,19.0,,1591.0,18.0,18.0,0.13747379183769226,244.0,11889.0,"[{'epoch': 14, 'train_loss': 0.4208204746246338, 'validation_loss': 0.1957925707101822}, {'epoch': 15, 'train_loss': 0.40750592947006226, 'validation_loss': 0.18160811066627502}, {'epoch': 16, 'train_loss': 0.38467979431152344, 'validation_loss': 0.15937717258930206}, {'epoch': 17, 'train_loss': 0.3534705936908722, 'validation_loss': 0.14149914681911469}, {'epoch': 18, 'train_loss': 0.32692041993141174, 'validation_loss': 0.13747379183769226}]"
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,13_to_14,13,14,11,1835,67,91,2025-07-04T15:00:00,2025-09-21T18:00:00,20260919,True,Persistência,baseline,0.0,91,25.252747252747252,33.168898446825516,-3.6263736263736264,71.0,0.9479074344042244,0.9479074344042244,4.903321706476568,1,25.252747252747252,25.252747252747252,0.0,0.0,2.0,2.0,2.0,,,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,13_to_14,13,14,11,1835,67,91,2025-07-04T15:00:00,2025-09-21T18:00:00,20260919,True,Ridge,scikit-learn,0.0006128000095486641,91,5.138753876581297,8.44475789008111,0.7236731694294856,13.188613891601562,0.9966233343815858,0.9966233343815858,1.1091706538455175,1,5.138753876581297,5.138753876581297,4.6986188888549805,4.6986188888549805,0.0,0.0,0.0,[],1835.0,,,,,,
stz_2h,Santa Tereza · 2 h,2,strict_common_cohort_causal,4,13_to_14,13,14,11,1835,67,91,2025-07-04T15:00:00,2025-09-21T18:00:00,20260919,True,Elastic Net,scikit-learn,0.03183959994930774,91,5.2471711399791,8.580180703870408,0.3718634516328246,14.217310905456543,0.996514167466631,0.996514167466631,1.1203959553060885,1,5.2471711399791,5.2471711399791,5.2503461837768555,5.2503461837768555,0.0,0.0,0.0,[],1835.0,,,,,,
