protocol,dataset,label,horizon_h,lookback_h,fold_id,validation_event,test_event,train_event_count,train_rows,validation_rows,test_rows,train_end,test_start,seed,common_source_contract,model,backend,fit_seconds,status,error,warnings,n_train,epochs_run,best_epoch,best_validation_loss_scaled,n_validation,parameter_count,history_tail
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,N-BEATS experimental,pytorch-cpu,0.05067199992481619,completed,,,1178.0,18.0,14.0,0.010457571595907211,214.0,20158.0,"[{'epoch': 14, 'train_loss': 0.11360415816307068, 'validation_loss': 0.010457571595907211}, {'epoch': 15, 'train_loss': 0.11032696813344955, 'validation_loss': 0.01133526861667633}, {'epoch': 16, 'train_loss': 0.09877379983663559, 'validation_loss': 0.013594676740467548}, {'epoch': 17, 'train_loss': 0.08783002197742462, 'validation_loss': 0.01707548089325428}, {'epoch': 18, 'train_loss': 0.08450381457805634, 'validation_loss': 0.020356256514787674}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,N-HiTS-lite experimental,pytorch-cpu,0.03177579992916435,completed,,,1178.0,18.0,18.0,0.02788417972624302,214.0,2353.0,"[{'epoch': 14, 'train_loss': 0.2463252991437912, 'validation_loss': 0.038588643074035645}, {'epoch': 15, 'train_loss': 0.24251995980739594, 'validation_loss': 0.03539026156067848}, {'epoch': 16, 'train_loss': 0.2335464209318161, 'validation_loss': 0.03253493830561638}, {'epoch': 17, 'train_loss': 0.2202082872390747, 'validation_loss': 0.030027005821466446}, {'epoch': 18, 'train_loss': 0.20412780344486237, 'validation_loss': 0.02788417972624302}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,PatchTST experimental,pytorch-cpu,0.055335699929855764,completed,,,1178.0,9.0,2.0,0.13837191462516785,214.0,9089.0,"[{'epoch': 5, 'train_loss': 0.6332265734672546, 'validation_loss': 0.23207736015319824}, {'epoch': 6, 'train_loss': 0.626438558101654, 'validation_loss': 0.23781292140483856}, {'epoch': 7, 'train_loss': 0.6154549717903137, 'validation_loss': 0.22259503602981567}, {'epoch': 8, 'train_loss': 0.5895752310752869, 'validation_loss': 0.192821204662323}, {'epoch': 9, 'train_loss': 0.5509102940559387, 'validation_loss': 0.1560259312391281}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,7_to_8,7,8,6,1178,214,37,2023-11-26T10:00:00,2024-04-13T20:00:00,20260919,True,TFT-lite experimental,pytorch-cpu,0.1412537000142038,completed,,,1178.0,18.0,17.0,0.031473685055971146,214.0,11889.0,"[{'epoch': 14, 'train_loss': 0.38354453444480896, 'validation_loss': 0.0521947406232357}, {'epoch': 15, 'train_loss': 0.3690418303012848, 'validation_loss': 0.0496944896876812}, {'epoch': 16, 'train_loss': 0.3447158634662628, 'validation_loss': 0.03802081570029259}, {'epoch': 17, 'train_loss': 0.31256866455078125, 'validation_loss': 0.031473685055971146}, {'epoch': 18, 'train_loss': 0.2865426242351532, 'validation_loss': 0.03938329592347145}]"
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,8_to_9,8,9,7,1392,37,35,2023-12-09T13:00:00,2024-04-28T19:00:00,20260919,True,Persistência,baseline,0.0,completed,,,,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,8_to_9,8,9,7,1392,37,35,2023-12-09T13:00:00,2024-04-28T19:00:00,20260919,True,Ridge,scikit-learn,0.0005830000154674053,completed,,[],1392.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,8_to_9,8,9,7,1392,37,35,2023-12-09T13:00:00,2024-04-28T19:00:00,20260919,True,Elastic Net,scikit-learn,0.01586949999909848,completed,,[],1392.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,8_to_9,8,9,7,1392,37,35,2023-12-09T13:00:00,2024-04-28T19:00:00,20260919,True,SVR,scikit-learn,0.06374769995454699,completed,,[],1392.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,8_to_9,8,9,7,1392,37,35,2023-12-09T13:00:00,2024-04-28T19:00:00,20260919,True,MLP,scikit-learn,0.29483609995804727,completed,,[],1392.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,8_to_9,8,9,7,1392,37,35,2023-12-09T13:00:00,2024-04-28T19:00:00,20260919,True,Random Forest,scikit-learn,2.67467380000744,completed,,[],1392.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,8_to_9,8,9,7,1392,37,35,2023-12-09T13:00:00,2024-04-28T19:00:00,20260919,True,Extra Trees,scikit-learn,1.0829479000531137,completed,,[],1392.0,,,,,,
strict_common_cohort_causal,stz_2h,Santa Tereza · 2 h,2,4,8_to_9,8,9,7,1392,37,35,2023-12-09T13:00:00,2024-04-28T19:00:00,20260919,True,HistGradientBoosting,scikit-learn,0.45275409996975213,completed,,[],1392.0,,,,,,
