candidate_id,constant_loss,event_id,initial_flow_ratio,initial_loss,k,mae_m3s,nse,observed_peak_m3s,pairs,peak_lag_hours,peak_relative_error,recession,research_score,rmse_m3s,simulated_peak_m3s,status,storage,tc
28,2.0,E28,0.003,3.0,1.0,541.0830683088012,0.8260700585086828,7886.72509765625,209,1.0,0.14590542954985838,0.8,0.776888972598711,744.1240121856433,6736.009084541066,replay_scored_not_promoted,30.0,25.0
39,2.0,E28,0.003,2.5,1.25,541.0842434852271,0.8184581256570782,7886.72509765625,209,2.0,0.14364086242936766,0.8,0.7497299531712046,760.2327089040142,6753.869102885567,replay_scored_not_promoted,30.0,25.0
25,2.0,E28,0.003,2.5,1.0,538.2168362027892,0.8196558324493058,7886.72509765625,209,2.0,0.15084103579421038,0.8,0.7494876252904638,757.7207742544098,6697.083314901586,replay_scored_not_promoted,30.0,26.0
26,2.0,E28,0.003,2.5,1.0,541.8708281780703,0.8067670199867445,7886.72509765625,209,3.0,0.16023644425395644,0.8,0.7147197311359531,784.3298964089009,6622.984311199375,replay_scored_not_promoted,30.0,27.0
30,2.5,E28,0.003,2.5,1.0,675.2579954728352,0.7600880835836695,7886.72509765625,209,1.0,0.1904557851469647,0.8,0.7019969265542766,873.9449024524047,6384.652676943857,replay_scored_not_promoted,30.0,25.0
34,2.0,E28,0.003,2.5,1.0,586.9776537114926,0.7662053044552348,7886.72509765625,209,1.0,0.22829856459489337,0.8,0.7005455915362562,862.7311326270777,6086.197078506808,replay_scored_not_promoted,35.0,25.0
31,3.0,E28,0.003,2.5,1.0,843.3641569161581,0.6669350591886989,7886.72509765625,209,1.0,0.23307157723752459,0.8,0.6003207437411939,1029.7281935933618,6048.553639906738,replay_scored_not_promoted,30.0,25.0
35,2.0,E28,0.003,2.5,1.0,644.4771099972725,0.6878812258420449,7886.72509765625,209,2.0,0.2982297882720005,0.8,0.5882352681876448,996.823091464774,5534.668741622754,replay_scored_not_promoted,40.0,25.0
2,2.0,E28,0.003,2.5,1.0,677.6055046994384,0.6681590841292653,7886.72509765625,209,-2.0,0.333839358145868,0.8,0.5613912125000916,1027.8343089716839,5253.825853181779,replay_scored_not_promoted,45.0,20.0
19,2.0,E28,0.003,2.5,0.5,693.7990396419848,0.6308238885033466,7886.72509765625,209,1.0,0.35577658736497386,0.8,0.5396685710303518,1084.113965860549,5080.812956926419,replay_scored_not_promoted,45.0,25.0
6,2.0,E28,0.003,0.0,1.0,684.6547035161119,0.6338458478224085,7886.72509765625,209,2.0,0.3410969293651547,0.8,0.5256264619493776,1079.6677406574506,5196.587384098603,replay_scored_not_promoted,45.0,25.0
8,1.0,E28,0.003,2.5,1.0,885.1913796687868,0.6171464202601977,7886.72509765625,209,2.0,0.2625549013378356,0.8,0.5246354399926305,1104.0137940313007,5816.0267677624815,replay_scored_not_promoted,45.0,25.0
18,2.0,E28,0.005,2.5,1.0,702.8368524876026,0.6127583065529554,7886.72509765625,209,2.0,0.3536030868379148,0.8,0.5020376891853724,1110.3226491244634,5097.954758082945,replay_scored_not_promoted,45.0,25.0
16,2.0,E28,0.003,2.5,1.0,714.202345748943,0.6058833122650084,7886.72509765625,209,2.0,0.35552750223012225,0.98,0.49477781181898384,1120.1354854016843,5082.777422910906,replay_scored_not_promoted,45.0,25.0
15,2.0,E28,0.003,2.5,1.0,710.6451546960193,0.6053651145263732,7886.72509765625,209,2.0,0.3560735964363086,0.9,0.4941503952391114,1120.8716392104343,5078.470528029292,replay_scored_not_promoted,45.0,25.0
1,2.0,E28,0.003,2.5,1.0,709.3080838570145,0.6041809182097311,7886.72509765625,209,2.0,0.3567470371531873,0.8,0.4928315107790936,1122.5521011542417,5073.159286225701,replay_scored_not_promoted,45.0,25.0
14,2.0,E28,0.003,2.5,1.0,709.6165888947318,0.6027381292435452,7886.72509765625,209,2.0,0.35740925977472443,0.7,0.4912562772886003,1124.5961316834387,5067.936518456188,replay_scored_not_promoted,45.0,25.0
4,2.0,E28,0.003,2.5,1.0,652.8888936038428,0.6886053558528432,7886.72509765625,209,-7.0,0.31164425148387015,0.8,0.48627650555606916,995.6660821278908,5428.872557938115,replay_scored_not_promoted,45.0,15.0
17,2.0,E28,0.001,2.5,1.0,715.9676762666346,0.595435215759061,7886.72509765625,209,2.0,0.35989098746845966,0.8,0.483457018265369,1134.8858517577937,5048.363814368458,replay_scored_not_promoted,45.0,25.0
7,2.0,E28,0.003,5.0,1.0,734.5488911484354,0.5727988417063219,7886.72509765625,209,2.0,0.37243727096036666,0.8,0.4583113875142485,1166.2035373094427,4949.414725470525,replay_scored_not_promoted,45.0,25.0
20,2.0,E28,0.003,2.5,2.0,740.0756727907358,0.5377893129133133,7886.72509765625,209,4.0,0.36077302709215914,0.8,0.3856347074948815,1213.0484159483824,5041.4074103311,replay_scored_not_promoted,45.0,25.0
22,1.0,E28,0.001,5.0,1.0,1058.0043880799396,0.4594447087558866,7886.72509765625,209,-1.0,0.41622762480516995,0.9,0.3561991837948526,1311.8319529187258,4604.052242767467,replay_scored_not_promoted,60.0,20.0
3,2.0,E28,0.003,2.5,1.0,742.8787960776605,0.5048659808568887,7886.72509765625,209,6.0,0.3809179174844871,0.8,0.3086823973599913,1255.508122747589,4882.530197684393,replay_scored_not_promoted,45.0,30.0
9,3.0,E28,0.003,2.5,1.0,936.7684119401594,0.4328206527562183,7886.72509765625,209,2.0,0.42549707013635824,0.8,0.30772123872894663,1343.7495995499005,4530.946675632632,replay_scored_not_promoted,45.0,25.0
12,2.0,E28,0.003,2.5,1.0,894.4553642611588,0.3578162362036088,7886.72509765625,209,3.0,0.486142328200531,0.8,0.2005877705635026,1429.8411913141954,4052.6541968040806,replay_scored_not_promoted,60.0,25.0
21,3.0,E28,0.0025,1.0,1.0,1009.4419883454071,0.2737014502617694,7886.72509765625,209,-2.0,0.5204621027000378,0.85,0.12960902972176183,1520.602611776762,3781.983569912917,replay_scored_not_promoted,60.0,20.0
10,4.0,E28,0.003,2.5,1.0,1299.4294560387498,0.1857118501794257,7886.72509765625,209,2.0,0.4865495848670905,0.8,0.048401933206007594,1610.079056774457,4049.442275430738,replay_scored_not_promoted,45.0,25.0
5,2.0,E28,0.003,2.5,1.0,822.1045611182401,0.2567570827468344,7886.72509765625,209,15.0,0.42778208800776035,0.8,-0.12879933485471767,1538.2379910159652,4512.925367837652,replay_scored_not_promoted,45.0,40.0
13,2.0,E28,0.003,2.5,1.0,1165.8862171724968,-0.04425616982905667,7886.72509765625,209,3.0,0.6324359908641777,0.8,-0.2307433680018922,1823.314847740449,2898.876295846642,replay_scored_not_promoted,90.0,25.0
