timestamp,obs_m3s,sim_m3s
2024-05-07 02:00:00,2362.475,4200.2423
2024-05-07 03:00:00,2300.275,4153.8312
2024-05-07 04:00:00,2242.925,4107.9330
2024-05-07 05:00:00,2198.325,4062.5420
2024-05-07 06:00:00,2161.125,4017.6525
2024-05-07 07:00:00,2131.2,3973.2590
2024-05-07 08:00:00,2102.425,3929.3560
2024-05-07 09:00:00,2075.825,3885.9381
2024-05-07 10:00:00,2044.5,3843.0000
2024-05-07 11:00:00,2019.725,3800.5364
2024-05-07 12:00:00,1985.3,3758.5419
2024-05-07 13:00:00,1948.3,3717.0115
2024-05-07 14:00:00,1911.5500000000002,3675.9400
2024-05-07 15:00:00,1878.7,3635.3223
2024-05-07 16:00:00,1841.225,3595.1534
2024-05-07 17:00:00,1808.85,3555.4283
2024-05-07 18:00:00,1776.7,3516.1422
2024-05-07 19:00:00,1742.4,3477.2902
2024-05-07 20:00:00,1711.875,3438.8675
2024-05-07 21:00:00,1685.025,3400.8694
2024-05-07 22:00:00,1653.7,3363.2911
2024-05-07 23:00:00,1627.25,3326.1280
2024-05-08 00:00:00,1599.775,3289.3756
2024-05-08 01:00:00,1574.75,3253.0293
2024-05-08 02:00:00,1555.525,3217.0846
2024-05-08 03:00:00,1546.45,3181.5371
2024-05-08 04:00:00,1543.075,3146.3823
2024-05-08 05:00:00,1537.475,3111.6160
2024-05-08 06:00:00,1526.3,3077.2339
2024-05-08 07:00:00,1509.5,3043.2316
2024-05-08 08:00:00,1483.925,3009.6051
2024-05-08 09:00:00,1458.525,2976.3501
2024-05-08 10:00:00,1427.8,2943.4626
2024-05-08 11:00:00,1400.625,2910.9385
2024-05-08 12:00:00,1375.725,2878.7738
2024-05-08 13:00:00,1350.0,2846.9645
2024-05-08 14:00:00,1325.475,2815.5066
2024-05-08 15:00:00,1309.575,2784.3963
2024-05-08 16:00:00,1288.55,2753.6299
2024-05-08 17:00:00,1265.475,2723.2033
2024-05-08 18:00:00,1254.0500000000002,2696.5348
2024-05-08 19:00:00,1236.4,2679.9338
2024-05-08 20:00:00,1220.925,2670.1920
2024-05-08 21:00:00,1208.6,2659.8923
2024-05-08 22:00:00,1198.35,2646.2458
2024-05-08 23:00:00,1189.2,2623.0056
2024-05-09 00:00:00,1182.05,2593.3394
2024-05-09 01:00:00,1174.975,2564.6679
2024-05-09 02:00:00,1166.875,2536.3517
2024-05-09 03:00:00,1160.8,2508.3201
2024-05-09 04:00:00,1150.7,2480.6053
2024-05-09 05:00:00,1148.7,2453.1954
2024-05-09 06:00:00,1143.7,2426.0885
2024-05-09 07:00:00,1136.65,2399.2812
2024-05-09 08:00:00,1129.65,2372.7701
2024-05-09 09:00:00,1124.7,2346.5519
2024-05-09 10:00:00,1121.7,2320.6234
2024-05-09 11:00:00,1118.7,2294.9814
2024-05-09 12:00:00,1116.7,2269.6228
2024-05-09 13:00:00,1115.7,2244.5443
2024-05-09 14:00:00,1116.7,2219.7430
2024-05-09 15:00:00,1121.7,2195.2157
2024-05-09 16:00:00,1110.7,2170.9594
2024-05-09 17:00:00,1107.7,2146.9712
2024-05-09 18:00:00,1104.75,2123.2480
2024-05-09 19:00:00,1089.95,2099.7869
2024-05-09 20:00:00,1073.275,2076.5851
