time_value,observed_m3s,simulated_m3s
65155980,6434.47509765625,3293.30486046862
65156040,6921.39990234375,3614.7224047801305
65156100,7382.22509765625,3976.203352230579
65156160,7848.89990234375,4391.508739476016
65156220,8315.375,4863.164502448243
65156280,8661.125,5382.897100569053
65156340,8943.099609375,5937.363703171183
65156400,9155.5,6511.090067720891
65156460,9337.025390625,7090.1392038893555
65156520,9548.75,7666.037521413887
65156580,9810.75,8233.227261197459
65156640,10101.0498046875,8785.747157165768
65156700,10418.5751953125,9318.123869654039
65156760,10703.650390625,9825.193581403035
65156820,10955.474609375,10299.942053355166
65156880,11137.775390625,10732.400778972487
65156940,11278.4248046875,11111.589697929563
65157000,11378.724609375,11429.80879578768
65157060,11434.9248046875,11680.837426731558
65157120,11434.9501953125,11857.547460315323
65157180,11370.224609375,11959.504814473787
65157240,11293.724609375,11996.143151514108
65157300,11186.849609375,11977.331900505475
65157360,11033.0,11908.981636554327
65157420,10884.775390625,11793.744280978524
65157480,10676.849609375,11627.654236773416
65157540,10476.7001953125,11402.606567551107
65157600,10242.9501953125,11117.663389107192
65157660,9992.525390625,10785.867020727372
65157720,9696.625,10428.063548414153
65157780,9435.474609375,10062.64412514938
65157840,9141.125,9700.816936117728
65157900,8817.650390625,9347.85576455038
65157960,8483.724609375,9005.85406208709
65158020,8149.22509765625,8675.809042311163
65158080,7784.77490234375,8358.074498503867
65158140,7435.2001953125,8052.464216560686
65158200,7098.64990234375,7758.596917243518
65158260,6784.27490234375,7476.040881506882
65158320,6488.2998046875,7204.361906236502
65158380,6200.97509765625,6943.137327674706
65158440,5928.35009765625,6691.959547863884
65158500,5661.0498046875,6450.436538748997
65158560,5410.72509765625,6218.191525135157
65158620,5177.0,5994.862463799829
65158680,4963.5498046875,5780.10148588723
65158740,4764.1748046875,5573.574346311991
65158800,4578.4248046875,5374.9598909399
65158860,4416.97509765625,5183.94954369315
65158920,4265.47509765625,5000.246813523593
65158980,4110.27490234375,4823.566820657947
65159040,3950.22509765625,4653.63584140505
65159100,3798.800048828125,4490.190870808712
65159160,3662.10009765625,4332.979202449157
65159220,3538.5,4181.7580247213
65159280,3419.97509765625,4036.2940329438484
65159340,3320.35009765625,3896.363056678523
65159400,3241.550048828125,3761.749701662896
65159460,3160.89990234375,3632.247005783797
65159520,3068.64990234375,3507.656108540697
65159580,2950.550048828125,3387.7859334700497
65159640,2839.85009765625,3272.4528830223326
65159700,2751.77490234375,3161.4805454034613
65159760,2684.550048828125,3054.6994129114
65159820,2641.175048828125,2951.9466113171766
65159880,2594.550048828125,2853.065639857211
65159940,2552.824951171875,2757.906121420832
65160000,2507.800048828125,2666.323562533181
65160060,2440.25,2578.179122749389
65160120,2348.47509765625,2493.339393090959
65160180,2254.425048828125,2411.676183169769
65160240,2191.22509765625,2333.066316659025
65160300,2157.125,2257.391434783828
65160360,2140.675048828125,2184.5378075168883
65160420,2123.175048828125,2114.3961521772117
65160480,2102.47509765625,2046.8614591414837
65160540,2043.9749755859375,1981.832824389209
65160600,1968.8499755859375,1919.2132886136324
65160660,1913.625,1858.9096826409798
65160720,1874.6500244140625,1800.8324789106287
65160780,1856.800048828125,1744.8956487785429
65160840,1851.550048828125,1691.0165254156204
65160900,1840.0250244140625,1639.115672081545
65160960,1826.5,1589.1167555633594
65161020,1807.7750244140625,1540.9464245762217
65161080,1788.074951171875,1494.5341929317658
65161140,1762.25,1449.8123272871044
65161200,1739.625,1406.7157392948538
65161260,1717.0999755859375,1365.1818819816033
65161320,1692.625,1325.4020865424263
65161380,1668.25,1287.55192313199
65161440,1647.0250244140625,1252.9567113874834
65161500,1625.875,1223.699562232206
65161560,1602.800048828125,1201.6147231627435
65161620,1567.949951171875,1186.4686951051356
65161680,1537.199951171875,1174.2034952063605
65161740,1506.699951171875,1162.9580855103216
65161800,1490.0999755859375,1152.0890785233828
65161860,1469.8499755859375,1141.398087320616
65161920,1457.4749755859375,1130.8272696298295
65161980,1440.6500244140625,1120.3599567053832
65162040,1428.4000244140625,1109.991003313704
65162100,1418.375,1099.7183950186604
65162160,1401.7249755859375,1090.4481945420655
65162220,1388.425048828125,1085.9714385566144
65162280,1379.5999755859375,1092.2423614539352
65162340,1378.5,1115.4027416427623
65162400,1385.0999755859375,1159.695273934087
65162460,1399.5250244140625,1226.0616473497826
65162520,1423.949951171875,1313.0365526161775
65162580,1448.5,1417.2817412342736
65162640,1484.4749755859375,1535.315260702161
65162700,1544.199951171875,1664.4132345524436
65162760,1628.925048828125,1802.564227062882
65162820,1677.375,1948.1333142834385
65162880,1727.300048828125,2099.2464214511674
65162940,1745.824951171875,2253.2659022774083
65163000,1756.074951171875,2407.2344160485814
65163060,1761.199951171875,2558.008797362566
65163120,1774.625,2701.8869486445774
65163180,1800.5,2835.2669187951205
65163240,1841.125,2955.259108310638
65163300,1899.925048828125,3059.896738008576
65163360,1960.324951171875,3148.1162331335777
65163420,2015.949951171875,3219.246292187555
65163480,2048.25,3272.5036978130606
65163540,2063.35009765625,3306.480876086163
65163600,2072.02490234375,3318.566207936951
65163660,2078.5,3306.046915045864
65163720,2069.875,3270.0684922102037
65163780,2054.72509765625,3214.2809574476537
65163840,2021.324951171875,3140.1793772197725
65163900,1974.1500244140625,3051.884237564862
65163960,1962.425048828125,2954.891033343147
65164020,1979.5,2854.50448434294
65164080,2014.875,2754.9061133293376
65164140,2072.050048828125,2658.479278027881
65164200,2123.175048828125,2564.3895729837623
65164260,2148.324951171875,2475.4070617498496
65164320,2150.52490234375,2389.370495595217
65164380,2133.02490234375,2302.452877024809
65164440,2110.10009765625,2216.498640284312
65164500,2081.800048828125,2137.0936784619557
65164560,2054.72509765625,2061.475747048865
65164620,2025.625,1990.2326979675522
65164680,1992.3499755859375,1923.1830175644527
65164740,1959.25,1857.2838941948544
65164800,1922.074951171875,1787.9107012067182
65164860,1883.050048828125,1717.4371730381838
65164920,1847.375,1650.5927749089726
65164980,1811.9000244140625,1590.2389471951712
65165040,1772.550048828125,1535.6543908387798
65165100,1738.574951171875,1485.2815913128788
65165160,1703.824951171875,1437.642415367628
65165220,1669.2249755859375,1392.0685380881623
65165280,1646.0250244140625,1348.5430903097401
65165340,1612.800048828125,1307.2648996891076
65165400,1584.8499755859375,1269.4371665517394
65165460,1542.175048828125,1235.7838932011614
