station_code,measurement_datetime,measurement_date,consistency_level,stage_cm,discharge_m3s,wetted_area_m2,width_m,mean_depth_m,mean_velocity_ms,source,source_route,downloaded_at,processed_at
86510000,1947-07-04 07:00:00,1947-07-04,2,318.0,725.0,600.4,167.6,3.58,1.208,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-07-05 07:00:00,1947-07-05,2,304.0,696.0,587.3,167.3,3.51,1.186,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1947-07-14 07:00:00,1947-07-14,2,410.0,1028.0,794.7,170.0,4.67,1.292,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:50.389417887,2026-06-14 10:36:12.061599016
86510000,1948-06-14 07:00:00,1948-06-14,2,404.0,1014.0,783.9,169.9,4.61,1.421,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:51.645553112,2026-06-14 10:36:12.061599016
86510000,1948-06-15 07:00:00,1948-06-15,2,332.0,762.0,655.5,167.65,3.91,1.162,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:51.645553112,2026-06-14 10:36:12.061599016
86510000,1948-06-16 07:00:00,1948-06-16,2,271.0,555.0,554.7,166.05,3.34,1.0,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:51.645553112,2026-06-14 10:36:12.061599016
86510000,1948-06-17 07:00:00,1948-06-17,2,238.0,432.0,492.8,164.8,2.99,0.877,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:51.645553112,2026-06-14 10:36:12.061599016
86510000,1948-06-18 07:00:00,1948-06-18,2,212.0,375.0,454.8,164.35,2.77,0.825,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:51.645553112,2026-06-14 10:36:12.061599016
86510000,1948-07-20 07:00:00,1948-07-20,2,339.0,812.0,657.0,168.35,3.9,1.236,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:51.645553112,2026-06-14 10:36:12.061599016
86510000,1948-07-21 07:00:00,1948-07-21,2,306.0,668.0,595.9,167.25,3.56,1.12,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,/EstacoesTelemetricas/HidroSerieResumoDescarga/v1,2026-06-04 21:14:51.645553112,2026-06-14 10:36:12.061599016
